도서명,저자명,출판사,대출횟수,,
공정하다는 착각 : 능력주의는 모두에게 같은 기회를 제공하는가,"Sandel, Michael J","서울 : 와이즈베리 : 미래엔, 2020(2021 5쇄)(2022 10쇄)(2022 12쇄)",29,,
불편한 편의점 : 김호연 장편소설,김호연,"고양 : 나무옆의자, 2021(2022 28쇄)",24,,
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","Miller, Lulu","[고양] :곰,2021(2022 2쇄, 5쇄, 11쇄)",23,,
작별인사 :김영하 장편소설,김영하,"서울 :복복서가,2022",23,,
창조적 사고와 표현,황혜진,"서울 : 쿠북 : 건국대학교출판부, 2014(2015 2쇄)(2016 4쇄)(2017 5쇄)(2019 6쇄)",17,,
대학물리학.2,"Serway, Raymond A","서울 :북스힐,2020",16,,
(Python으로 배우는) 문제해결과 인공지능,김현정,"고양 :인피니티북스 :Infinitybooks,2021",16,,
저주토끼 :정보라 소설집 =Cursed bunny,정보라,"서울 :아작,2017(2022 3쇄)",15,,
옛이야기와 자기발견의 스토리텔링,김정은,"서울 :그래비티북스,2020",15,,
어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘,유선경,"서울 :앤의서재,2020(2021 32쇄)",14,,
구의 증명 :최진영 소설,최진영,"서울 :은행나무,2015(2018 8쇄)(2022 24쇄)",14,,
아몬드 :손원평 장편소설,손원평,"파주 :창비,2017(2020 99쇄)(2021 145쇄)",13,,
채식주의자 :한강 장편소설,한강,"파주 :창비,2022",13,,
사피엔스,"Harari, Yuval N","파주 :김영사,2015(2017 81쇄)(2018 106쇄)(2019 126쇄)(2020 160쇄)",13,,
종의 기원 : 정유정 장편소설 =(The) origin of species,정유정,"서울 : 은행나무, 2016(2017 39쇄)(2018 42쇄)(2022 60쇄, 61쇄)",12,,
미드나잇 라이브러리,"Haig, Matt","서울 :인플루엔셜,2021(2022 32쇄)",12,,
아버지의 해방일지 : 정지아 장편소설,정지아,"파주 : 창비, 2022",12,,
우리가 빛의 속도로 갈 수 없다면 : 김초엽 소설집,김초엽,"서울 : 허블, 2019(2020 11쇄, 25쇄)(2021 38쇄)(2022 43쇄, 44쇄)",12,,
천문학자는 별을 보지 않는다,심채경,"파주 :문학동네,2021",11,,
지구 끝의 온실 :김초엽 장편소설,김초엽,"고양 :자이언트북스,2021(2022 29쇄)",11,,
"그릿 : IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","Duckworth, Angela","서울 : 비즈니스북스, 2019(2021 29쇄)(2022 40쇄)",11,,
세상의 마지막 기차역,촌뢰건,"서울 :모모 :바이포엠 스튜디오,2022",11,,
달러구트 꿈 백화점 :이미예 장편소설,이미예,"서울 :팩토리나인,2021",11,,
아주 작은 습관의 힘 : 최고의 변화는 어떻게 만들어지는가,"Clear, James","서울 : 비즈니스북스, 2019(2020 79쇄)(2022 86쇄)",11,,
하얼빈 : 김훈 장편소설,김훈,"파주 : 문학동네, 2022",11,,
"지구는 괜찮아, 우리가 문제지 :곽재식의 기후 시민 수업",곽재식,"서울 :어크로스,2022",11,,
돈의 속성,김승호,"파주 :스노우폭스북스,2020(2022 196쇄)",11,,
쇼코의 미소 :최은영 소설,최은영,"파주 :문학동네,2016(2018 28쇄)(2021 49쇄)",11,,
완전한 행복 :정유정 장편소설,정유정,"서울 :은행나무,2021(2021 17쇄)",10,,
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일조갑,"서울 :모모 :바이포엠,2021(2021 81쇄)",10,,
인간실격,태재치,"서울 :민음사,2004(2022 94쇄, 95쇄)",7,,
파친코.1,이민진,"서울 : 문학사상, 2018(2021 17쇄)",7,,
"사피엔스 :그래픽 히스토리.1,인류의 탄생","Harari, Yuval N","파주 :김영사,2020(2021 5쇄)",6,,
(2022) 젊은작가상 수상작품집.제13회,임솔아,"파주 :문학동네,2022",5,,
