순위,서명,저자,출판사,대출횟수
162,(현대 사회의) 성·사랑·에로티시즘,"Giddens, Anthony", 새물결    ,16
166,빅 히스토리,"Christian, David", 해나무        ,14
81,물고기는 존재하지 않는다,"Miller, Lulu", 곰       ,12
168,美學理論,"Adorno, Theoder W", 文學과 知性社      ,12
205,화학으로 이루어진 세상,"M?defessel-Hermann, Kristin", 에코리브르      ,12
45,최신대학물리학.1,"Serway, Raymond A", 북스힐     ,11
44,(글로벌 시대의) 국제금융론,국제금융연구회, 시대가치     ,11
206,트렌드 코리아.2023,김난도, 미래의창       ,10
101,중급회계 IFRS,정운오, 經文社    ,10
64,파친코 : 이민진 장편소설.1,이민진, 문학사상      ,10
63,미시경제학 : 연습문제 해답집,김영산, 박영사      ,10
172,삶으로서의 은유,"Lakoff, George", 박이정      ,10
1,"달러구트 꿈 백화점.2, 단골손님을 찾습니다 : 이미예 장편소설",이미예, 팩토리나인      ,10
47,Kreyszig 공업수학.상.상미분방정식·선형대수·벡터미적분,"Kreyszig, Erwin", 텍스트북스   ,9
188,헤어질 결심  : 각본,정서경, 을유문화사    ,9
227,외사랑,동야규오, 소미미디어    ,9
175,"칵테일, 러브, 좀비",조예은, 안전가옥       ,9
2,공정하다는 착각,"Sandel, Michael J", 와이즈베리     ,9
226,마흔에 읽는 니체 : 지금 이 순간을 위한 철학 수업,장재형, 유노북스     ,9
213,같기도 하고 아니 같기도 하고,"Hoffmann, Roald", 까치       ,9
52,(White의) 유체역학,"White, Frank M", 맥그로우힐에듀케이션코리아     ,8
50,"지적 대화를 위한 넓고 얕은 지식.1, 현실:역사·경제·정치·사회·윤리",채사장, 웨일북      ,8
85,사피엔스,"Harari, Yuval N", 김영사      ,8
84,열두 발자국,정재승, 어크로스      ,8
3,작별하지 않는다 : 한강 장편소설,한강, 문학동네    ,8
4,지구 끝의 온실 : 김초엽 장편소설,김초엽, 자이언트북스       ,8
103,중급회계 IFRS : 연습문제 해답,정운오, 經文社    ,8
105,멋진 신세계,"Huxley, Aldous Leonard", 문예출판사     ,8
68,미시경제학 :미시적 경제분석의 이해,김영산, 박영사   ,8
6,우리가 빛의 속도로 갈 수 없다면 : 김초엽 소설,김초엽, 허블      ,8
193,교육과정의 이해,소경희, 교육과학사     ,8
51,(레닌저) 생화학.상,"Nelson, David L", 월드사이언스       ,8
218,뉴스를 보는 눈 :가짜 뉴스를 선별하는 미디어 리터러시,구본권, 풀빛     ,8
215,선물·옵션 투자의 이론과 전략,"Hull, John C", 퍼스트북    ,8
179,부자 아빠 가난한 아빠 : 20주년 특별 기념판,"Kiyosaki, Robert T", 민음사      ,8
178,거시경제학,"Mankiw, N. Gregory", 시그마프레스    ,8
220,소년이 온다,한강, 창비    ,8
230,하얼빈 : 김훈 장편소설,김훈, 문학동네  ,8
236,"버릴 관행, 지킬 원칙 : 취재 보도 바로 세우기",김경모, 이화여자대학교출판문화원    ,7
90,왜 세계의 절반은 굶주리는가? :유엔 식량특별조사관이 아들에게 들려주는 기아의 진실,"Ziegler, Jeon", 갈라파고스     ,7
91,고도를 기다리며,"Beckett, Samuel", 민음사     ,7
233,아버지의 해방일지 : 정지아 장편소설,정지아, 창비       ,7
89,동물 해방,"Singer, Peter", 연암서가      ,7
106,대학원생 때 알았더라면 좋았을 것들.2,김세정, 클라우드나인    ,7
107,맨큐의 경제학,"Mankiw, N. Gregory",  센게이지러닝코리아      ,7
148,변화하는 세계 질서,"Dalio, Ray", 한빛비즈    ,7
147,역행자 : 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청, 웅진지식하우스        ,7
127,"어느 날, 내 죽음에 네가 들어왔다",성화료원, 모모     ,7
108,시선으로부터 : 정세랑 장편소설,정세랑, 문학동네       ,7
126,세상의 마지막 기차역,촌뢰건, 모모     ,7
