도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
영성신학,,,년 월 일,28,종교,"['사이먼', '찬', '싱가포르', '트리니티', '신학', '대학', '조직', '신학', '가르치고', '케임브리지', '대학', '수덕', '경건', '기초', '청교도', '묵상', '전통', '관', '논문', '철학', '박사', '학위', '받은', '아시아', '신학자']","['신', '학적', '성찰', '경건', '삶', '분리', '되어서는', '안', '된다', '불행히도', '계몽', '주의', '시대', '신학', '교리', '삶', '나누어', '놓았으며', '현상', '다를', '약화', '시켰다', '대해', '본', '서는', '조직', '신학', '경건', '실천', '다루면서', '교리', '삶', '적절하게', '연결', '시킨다', '저자', '먼저', '조직', '신학', '주요', '주제', '하나님', '죄', '구원', '교회', '대한', '교리', '탐구', '시작', '하여', '기도', '말씀', '묵상', '이어지는', '영성', '실천', '대한', '성찰', '나아간다', '특히', '저명한', '아시아', '신학자', '저자', '아시아', '관점', '동', '서양', '문화', '아우를', '뿐', '아니라', '복음주의', '적이면서도', '에큐메니컬', '토대', '개신교', '가톨릭', '동방', '정교회', '전통', '자료', '오늘날', '신', '학적', '조류', '염두', '두고', '신학', '영성', '깊이', '있게', '검토', '하며', '통합', '하려는', '사려', '깊은', '성찰', '기도', '마음', '읽어', '나가야', '책']"
보편공의회사,클라우스샤츠 이종한,분도출판사,년 월 일,23,종교,"['예수회', '신부', '이자', '프랑크푸르트', '상트', '게', '오르게', '철학', '신학', '대학', '교', '회사', '교수']","['가톨릭교회', '역사', '공의회', '역사', '라', '해도', '과언', '아니다', '역사', '복잡하고', '파란만장하다', '이해관계', '해석', '개념', '다양할', '밖에', '없었다', '논란', '분란', '적지', '않았다', '공의회', '이름', '했는가', '논의', '했고', '결론', '도달', '했는가', '갈등', '이었던가', '공의회', '역사', '대한', '모든', '의문', '답', '책', '없다', '책', '권', '모든', '안개', '걷힐', '이라고', '호언', '교만', '겠다', '적어도', '공의회', '이해', '데', '좋은', '안내', '역할', '충분히', '공부', '될', '인지', '아는데', '부족하지', '더욱', '중요한', '독자', '품음', '직한', '의문', '가운데', '많은', '책', '속', '비교', '석', '명', '게', '대답', '되어', '있다는', '점']"
종말론,베네딕토 세 조한규,생활성서사,년 월 일,22,종교,"['연월일', '독일', '바이에른', '주', '마르크', '암', '태어났다', '사제품', '받은', '뒤', '프라이징', '본', '튀빙겐', '레겐스부르크', '여러', '대학', '교의', '신학', '교수', '지냈다', '차', '바티칸', '공의회', '문', '위원', '참여', '하였으면서도', '후의', '개혁', '대개', '공의회', '정신', '이라는', '이름', '파괴', '였다고', '주장', '하여', '엄청난', '파문', '일으켰다', '신학자', '로서', '맑게', '깨어있는', '분석', '동시', '강력한', '종합', '력', '겸비', '지성', '사랑받았고', '말', '전적', '광채', '넘쳐', '났다', '뮌헨', '프라이징', '대교구', '대', '교구장', '추기경', '임명', '되었다', '교황청', '신앙교리성', '장관', '맡던', '제대', '교황', '베네딕토', '세로', '선출', '되어', '재위', '건강', '이유', '연월일', '퇴위', '하였다', '세기', '최고', '현인', '꼽힌다']","['그리스도교', '신앙', '신학', '정통', '이자', '종말', '사상', '교과서', '같은', '책', '종말론', '그리스도교', '신앙', '신학', '전통', '집중', '온', '천국', '지옥', '심판', '부활', '이라는', '주제', '종말', '사건', '연결', '시켜', '통합', '전망', '시한', '오늘날', '그리스도교', '종말론', '주장', '지나친', '중심', '경향', '지나친', '내세', '경향', '양', '극단', '배격', '그리스도교', '종말론', '올바른', '가치', '정립', '시킨', '특히', '죽음', '영혼', '영속성', '영원한', '삶', '죽은', '부활', '예수님', '재림', '최후', '심판', '지옥', '연옥', '천국', '종말론', '중요한', '문제', '심도', '있게', '다뤄진다', '예수님', '재림', '방법', '는가', '죽으면', '몸', '썩는데', '부활', '이루어지는가', '몸', '구별', '영혼', '이란', '있는가', '부활', '이루어지는가', '죽은', '후', '재림', '시기', '잠', '자는가', '영원', '관계', '인가', '현대', '그리스도교', '종말', '사상', '논리', '학문', '깊이', '있게', '연구', '하려는', '에게는', '필수', '불가결한', '교과서', '같은', '책']"
간추린 보편 공의회사,김영식,가톨릭출판사,년 월 일,22,종교,"['천주교', '대교구', '신부', '사제품', '받았고', '로마', '교황청', '립', '그레고리오', '대학교', '교', '회사', '문화재', '학과', '수학', '역서', '간추린', '보편', '공이', '회사', '간추린', '평신도', '역사', '행운동', '성당', '주', '임신부', '재직', '중이']","['공의회', '전통', '대한', '명쾌한', '입문', '서', '간추린', '보편', '공의회', '사는', '보편', '공의회', '전문가', '노', '탄', '신부', '보편', '공의회', '역사', '관', '수년', '간', '연구', '강의', '내용', '명쾌하게', '압축', '요약', '공의회', '역사', '핵심', '명확하게', '짚어', '준다', '초심자', '쉽게', '읽을', '문체', '초기', '공의회', '차', '바티칸', '공의회', '까지의', '역사', '들려주는', '책', '교황', '공의회', '관계', '공의회', '역사', '업적', '교회', '안', '에서의', '중요성', '아프리카', '아시아', '교회', '공의회', '전통', '주제', '담고', '유럽', '중심', '사고', '벗어나', '아시아', '아프리카', '교', '회사', '주변', '자리', '한다고', '여겨지던', '대륙', '교', '회사', '특히', '공의회', '역사', '안', '갖는', '의미', '발견', '준다는', '점', '가치', '책']"
누가복음 상, 크로포드 김병희,전도출판사,년 월 일,20,종교,"['캐나다', '출생', '주님', '멸망해가는', '영혼', '향', '사랑', '인해', '미국', '캐나다', '복음', '전파', '했고', '가르침', '전도사', '역은', '넓어져', '영국', '제도', '포함', '되었다', '크로', '포드', '월간', '잡지', '진리', '소식', '편집', '하기도', '했으며', '그리스도', '인격', '역', '이라는', '책', '펴내기도']","['신약성경', '가르침', '분명하고', '자세하게', '펼쳐', '보일', '목적', '펴낸', '횃불', '주석', '시리즈', '누가복음', '상편', '시리즈', '집필', '진', '영어권', '세계', '말씀', '역', '몸', '담고', '저명한', '성', '경', '강', '해자', '이며', '주', '해적', '동시', '문체', '성경', '내용', '주석', '예수', '탄생', '공적', '역', '위', '준비', '예수', '갈릴리', '역', '관해', '누가복음', '서', '살펴보고', '책']"
영성신학,,,년 월 일,20,종교,"['사이먼', '찬', '싱가포르', '트리니티', '신학', '대학', '조직', '신학', '가르치고', '케임브리지', '대학', '수덕', '경건', '기초', '청교도', '묵상', '전통', '관', '논문', '철학', '박사', '학위', '받은', '아시아', '신학자']","['신', '학적', '성찰', '경건', '삶', '분리', '되어서는', '안', '된다', '불행히도', '계몽', '주의', '시대', '신학', '교리', '삶', '나누어', '놓았으며', '현상', '다를', '약화', '시켰다', '대해', '본', '서는', '조직', '신학', '경건', '실천', '다루면서', '교리', '삶', '적절하게', '연결', '시킨다', '저자', '먼저', '조직', '신학', '주요', '주제', '하나님', '죄', '구원', '교회', '대한', '교리', '탐구', '시작', '하여', '기도', '말씀', '묵상', '이어지는', '영성', '실천', '대한', '성찰', '나아간다', '특히', '저명한', '아시아', '신학자', '저자', '아시아', '관점', '동', '서양', '문화', '아우를', '뿐', '아니라', '복음주의', '적이면서도', '에큐메니컬', '토대', '개신교', '가톨릭', '동방', '정교회', '전통', '자료', '오늘날', '신', '학적', '조류', '염두', '두고', '신학', '영성', '깊이', '있게', '검토', '하며', '통합', '하려는', '사려', '깊은', '성찰', '기도', '마음', '읽어', '나가야', '책']"
예 하나님,이 삭,문광서원,년 월 일,19,종교,"['삭', '목사', '황해도', '출생', '하여', '가족', '월남', '모친', '뜻', '북한', '선교', '위해', '미국', '이주', '후', '개혁', '장로회', '신학교', '신학', '과정', '수료', '미주', '총회', '가주', '노회', '목사', '안수', '하나님', '부르', '심', '순종', '하여', '모퉁이', '돌', '선', '교회', '설립', '북한', '비롯', '중국', '러시아', '이스라엘', '복음', '제한', '지역', '복음', '전하', '역', '감당', '선', '교회', '대표', '로서', '북한', '성경', '중국어', '주석', '성경', '번역', '하여', '배달', '있으며', '신학교', '북한', '지하', '교회', '지도자', '양성', '하며', '중국', '비롯', '지역', '신학교', '현지', '역', '지원', '저서', '로는', '북한', '복음', '화', '하라', '붉은', '예수', '쟁이', '북한', '포기', '없다']","['이삭', '목사', '첫', '자서전', '역', '일대기', '목사', '나라', '몽골', '소련', '중국', '북한', '가라', '가서', '돌아오지', '마', '서', '죽어', '서', '묻혀', '황해도', '출생', '이삭', '목사', '어렸을', '께서', '심어주신', '간곡', '소명', '앞', '순종', '지난', '연간', '북한', '선교', '위해', '달려왔다', '책', '이삭', '목사', '어린', '시절', '이민', '생활', '모퉁이', '돌', '선', '교회', '설립', '후', '공산권', '선교', '감당', '겪었던', '수많은', '간증', '하나님', '역사', '만났던', '북한', '지하', '교회', '성도', '겪어야', '했던', '아픔', '저자', '진솔한', '고백', '전하']"
세계공의회사,후베르트 예딘 최석우,분도출판사,년 월 일,19,종교,[],"['세계', '공의회', '사를', '다룬', '개설', '서', '기본', '개관', '함', '문제', '쉽게', '접근', '있도록', '도와준다', '공의회', '대한', '기초', '지식', '차', '바티칸', '공의회', '공의회', '비교', '검토', '공의회', '교회', '직면', '난제', '특히', '공의회', '결의', '실천', '통한', '개혁', '이란', '이며', '실행', '되어야', '하는지', '구체', '제시', '하였다']"
희망,프란치스코 교황 강대인,가톨릭출판사,년 월 일,18,종교,"['아르헨티나', '부에노스아이레스', '이탈리아', '계', '이민자', '아들', '태어났다', '예수회', '사제', '서품', '주교', '부에노스아이레스', '대교구', '장이', '되었다', '추기경', '서', '임', '되었으며', '가톨릭교회', '제대', '교황', '선출', '됐다', '만에', '탄생', '비', '유럽', '권', '출신', '교황', '이자', '최초', '라틴아메리카', '출신', '교황', '최초', '예수회', '출신', '교황', '책', '담긴', '교황', '권고', '복음', '기쁨', '사랑', '아마존', '회칙', '찬미', '받으소서', '가톨릭교회', '비롯', '세계', '쇄신', '위해', '노력']","['희망', '찬', '기쁨', '예언자', '되', '기를', '작게는', '삶', '대한', '걱정', '크게', '나라', '대한', '걱정', '수많은', '걱정', '살아간다', '점점', '각박해지는', '사회', '속', '걱정', '쌓여', '가고', '그러한', '걱정', '해결', '되지', '보면', '절망', '커져', '간다', '끝', '보이지', '않는', '전염병', '이나마', '남아', '있던', '희망', '간다', '이럴', '에도', '희망', '품', '있을까', '희망이', '점점', '멀어지고', '희미해지는', '희망', '품으십시오라고', '말', '인물', '프란치스코', '교황', '그런', '교황', '희망', '메시지', '담은', '책', '프란치스코', '교황', '초대', '달', '묵상', '희망이', '가톨릭출판사', '나왔다', '책', '프란치스코', '교황', '희망', '그리스도인', '근본', '덕목', '이라고', '이야기', '그러면서', '가장', '절망', '상황', '일수록', '하느님', '안', '희망', '강하게', '품어야', '희망', '나누어야', '한다고', '권고']"
간추린 가톨릭 교회사,김영식,불휘미디어,년 월 일,18,종교,"['천주교', '대교구', '신부', '사제품', '받았고', '로마', '교황청', '립', '그레고리오', '대학교', '교', '회사', '문화재', '학과', '수학', '역서', '간추린', '보편', '공이', '회사', '간추린', '평신도', '역사', '행운동', '성당', '주', '임신부', '재직', '중이']","['역사', '흐름', '증언', '증인', '이며', '진실', '빛', '이며', '스승', '과거', '소식', '키케로', '진지하게', '존재', '뿌리', '찾는', '이는', '당연히', '가족사', '관심', '갖습니다', '가톨릭', '신자', '가톨릭교회', '역사', '가족', '역사', '와도', '같습니다', '교회', '시작', '되었고', '발전', '되어', '로마', '제국', '박해', '벗어나', '공인', '되었는지', '동방', '교회', '서방', '교회', '분리', '되었고', '개신교', '종교개혁', '분열', '이유', '인지', '알고자', '이는', '역사', '답', '찾습니다', '가톨릭교회', '기원', '발전', '흥망', '성쇠', '대해', '알아보고', '과거', '미래', '위', '가르침', '얻는', '가톨릭', '신자', '중요한', '교회', '역사', '알려고', '마음먹는', '쉽지는', '않습니다', '이미', '여러', '권', '교', '회사', '서적', '국내', '소개', '되어', '있지만', '흥미로운', '제목', '달리', '가톨릭교회', '역사', '핵심', '사건', '중심', '저술', '책', '많지', '않습니다', '가톨릭', '대학교', '신학', '대학', '가톨릭', '교리', '신', '학원', '가톨릭', '대학교', '문화영', '성', '대학원', '세', '계교', '회사', '강의', '강의', '수강', '학생', '위', '간추린', '교', '회사', '서적', '필요성', '느꼈습니다', '간추린', '역사', '책', '이라는', '명칭', '중요한', '생략', '했다거나', '수박', '겉', '핥기', '식', '다뤘다는', '뜻', '아닙니다', '상세', '깊이', '다루지', '않으면서', '많은', '독자', '주요', '내용', '중심', '가톨릭교회', '역사', '맥', '파악', '하도록', '요약', '했기', '책', '부', '장', '구성', '되며', '장마', '내용', '대한', '요약', '시작', '그리스도교', '신자', '비신', '책', '가톨릭교회', '역사', '파악', '데', '도움', '될', '있기를', '바랍니다', '강의', '들으면서', '강의', '록', '교재', '서투른', '표현', '내용', '점', '지적', '주신', '수강생', '더운', '촉박한', '속', '에서도', '기꺼이', '윤문', '출판', '맡아주신', '불휘', '미디어', '김리나', '대표', '님', '책', '출판', '위', '하여', '격려', '도움', '주신', '은인', '깊은', '감사', '마음', '성모승천', '대', '축일', '행운동', '성당', '김영식', '루카', '신부']"
