도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
우리가 빛의 속도로 갈 수 없다면,김초엽,허블,년 월 일,,소설시희곡,"['소설가', '년생', '포스텍', '화학', '전공', '생화학', '석사', '학위', '관내', '분실', '빛', '속도', '없다', '면', '과학', '문학상', '중단', '편', '대상', '가작', '수상하며', '작품', '활동', '시작', '쓴', '책', '소설', '집', '빛', '속도', '없다면', '원통', '안', '소녀', '지은', '책', '사이보그', '되다가', '여러', '앤솔러지', '참여', '작가', '문학동네', '젊은', '작가', '수상했다', '우주', '대해', '상상', '걸', '좋아하지만', '우주', '직접', '가고', '싶지는', '않은', '작가', '환상', '시공간', '여행', '외계', '행성', '탐사', '이야기', '열광한다', '취미', '두', '달마', '바뀌는데', '가장', '오래', '가는', '건', '게임', '집', '모든', '종류', '게임', '콘솔', '커다란', '스크린', '구비', '게임방', '만들고', '스스로', '완전히', '격리', '계획', '세우고']","['우아한', '계보', '후', '지난', '겨울', '바이오', '센서', '만드는', '과학', '였던', '김', '초연', '작가', '소설', '쓴다', '관내', '분실', '과학', '문학상', '중단', '편', '부문', '대상', '필명', '낸', '빛', '속도', '없다면도', '동시', '우아한', '계보', '라', '불리', '며', '작품', '활동', '시작', '김', '초연', '작가', '후', '더욱', '도약', '만이', '그려', '낼', '김', '초연', '특유', '작', '품세', '계', '보여주었다', '투명하고', '아름답지만', '순진하지만은', '않은', '에도', '없는', '어딘가', '있을', '같은', '근사한', '세계', '손', '잡힐', '듯', '이야기', '담아', '냈다', '개', '위성', '뜨는', '곳', '에서도', '지지', '않는', '마음', '표', '제작', '빛', '속도', '없다', '면', '매력', '할머니', '과학자', '주인공', '등장', '인물', '소설', '고통', '기꺼이', '감내', '있는지', '생', '끝', '최선', '다한', '다는', '인지', '자꾸만', '묻는', '듯', '문학상', '긴', '초엽', '작품', '더욱', '확장', '세계', '그려', '낸다', '작가', '질문', '단단해진듯', '개', '위성', '뜨는', '행성', '홀로', '남겨져', '외계인', '조우', '될지라도', '스펙트럼', '고통', '없는', '유토피아', '짐짓', '모르는', '질문', '않고', '살아갈', '있을', '에도', '순례', '돌아오지', '않는가', '그럼에도', '불구', '세계', '세계', '알아야겠다고', '용기', '내는', '마음', '사랑', '우정', '말', '하며', '지지', '않는', '마음', '분투', '태도', '긴', '초엽', '소설', '소녀', '영웅', '금메달', '리스트', '필요', '없다', '김', '초엽', '정상', '비정상', '성공', '실패', '주류', '비주류', '경계', '끊임없이', '질문', '미션', '실패했다고', '비난', '받는', '우주인', '일지', '라도', '우주', '영웅', '관', '하여', '소녀', '에게는', '존재', '응원', '성공', '실패', '인가', '우주', '미션', '실패했지만', '소녀', '응원', '성공했다면', '삶', '실패한', '삶', '있을까', '소녀', '영웅', '금메달', '리스트', '필요', '없다', '경계', '선', '소설가', '김초', '업은', '질문', '쨍하', '게', '빛나는', '이야기', '들려준다', '재미있게']"
문화정치학의 영토들,이진경,그린비,년 월 일,,인문,"['환기', '사회', '토대', '분석', '사회', '성', '체론', '사회과학', '방법론', '써서', '세', '이진경', '이라는', '필명', '얻었다', '본명', '박태호', '서울대', '사회학', '졸업', '같은', '대학', '대학원', '논문', '서구', '근', '대적', '주거', '공간', '대한', '공간', '사회학', '연구', '박사학위', '지식', '공동체', '수유너머', '연구', '활동', '하며', '과학기술대', '기', '초교', '학부', '강의', '사회주의', '붕괴', '근대성', '천', '착해', '철학', '굴뚝', '청소부', '썼고', '자본주의', '근대성', '변혁', '모색', '마르크스', '주의', '근대성', '근', '대적', '시공간', '탄생', '이진경', '필로', '시네마', '썼다', '푸코', '들뢰즈', '가타', '리', '철학', '자본주의', '외부', '삶', '탈주', '꿈꾸며', '노마디즘', '철학', '외부', '역사', '공간', '불온', '존재론', '권', '책', '냈다']","['대', '중지', '성', '눈', '시대', '분석', '대중', '강의', '시리즈', '두', '번째', '책', '포스트모던', '이라는', '말로', '표상', '현대', '문화', '문화', '현상', '만이', '아니라', '문화', '형성', '지반', '공간', '기억', '역사', '시선', '주체', '다루고', '이렇게', '지반', '에까지', '눈', '돌림', '삶', '깊숙이', '들어와', '서구', '시선', '계몽', '주의', '오리엔탈리즘', '휴머니즘', '이념', '채색', '벗기고', '새로운', '삶', '가능성', '창안', '위', '지점', '모색', '현대', '문화', '단', '표현', '말', '포스트모던', '조건', '대한', '설명', '시작', '책', '현대', '문화', '요소', '욕망', '소비', '스펙', '터', '클', '복제', '문화', '성형', '섹슈얼리티', '살펴보고', '문화', '현상', '근', '깔려', '근', '대적', '시선', '이념', '문제', '언급', '함', '탈', '근대', '포스트모던', '불리는', '시대', '이해', '해석', '해야', '인가', '대한', '단', '초', '제공']"
달러구트 꿈 백화점 ,이미예,팩토리나인,년 월 일,,소설시희곡,"['부산', '태어났다', '부산', '대', '재료공학', '공부', '반도체', '엔지니어', '크라', '우드', '펀딩', '프로젝트', '주문', '하신', '꿈', '매진', '달러', '구트', '꿈', '백화점', '첫', '소설', '발표', '후원자', '열렬한', '지지', '받아', '성공', '펀딩', '종료', '하였다', '달러', '구트', '꿈', '백화점', '교보', '문고', '영풍문고', '종합', '베스트셀러', '예스', '인터파크', '알라딘', '영풍문고', '뽑은', '책', '수상하였고', '서점', '뽑은', '책', '부천', '창원', '포천', '남양주시', '용인시', '정부', '대구', '책', '선정', '되었다', '상반기', '교보', '문고', '예스', '종합', '베스트셀러', '위', '차지', '하였다']","['여기는', '잠들어야만', '입장', '달러', '구트', '꿈', '백화점', '잠들어야만', '입장', '독특한', '마을', '곳', '들어온', '잠든', '손님', '가장', '인기', '곳', '온갖', '꿈', '모아', '판매', '달러', '구트', '꿈', '백화점', '긴', '잠', '자는', '짧은', '낮잠', '자는', '동물', '대', '성황', '이룬다', '범', '상치', '않은', '혈통', '주인', '장', '달러', '구트', '최측근', '신참', '직원', '페니', '꿈', '만드는', '아가', '넵', '코코', '베일', '둘러싸인', '비고', '어스', '등장', '달러', '구트', '꿈', '백화점', '무의식', '에서만', '존재', '꿈', '정말', '사고팔', '있을까', '기발한', '질문', '답', '찾아가며', '꿈', '만드는', '파는', '사는', '비밀스러운', '에피소드', '담고', '판타지', '소설', '텀블벅', '펀딩', '달성', '전자책', '출', '간', '베스트셀러', '위', '기록', '하며', '수많은', '독자', '요청', '종이', '책', '출', '간하게', '되었다']"
선량한 차별주의자,김지혜,창비,년 월 일,,사회 정치,"['강릉원주대', '다문화', '학과', '소수자', '인권', '차별', '관해', '가르치고', '연구', '주민', '성소수자', '아동', '청소년', '홈리스', '다양한', '소수자', '현안', '관심', '현장', '밀접한', '연구', '사회', '구체', '변화', '만들어', '낼', '법', '정책', '대안', '제시', '하려고', '노력', '사회', '복지', '법', '공부', '서울특별시', '립', '동', '상담', '치료', '센터', '헌법재판소', '기관', '했으며', '주민', '기본권', '불평등', '윤리', '영토권', '차별', '선동', '규제', '혐오', '표현', '관', '국제', '법적', '비교', '법적', '검토', '중심', '연', '논문', '몰랐던', '이야기', '공저', '인권', '행정', '길라잡이', '공저', '쓰고', '헌법', '약속', '사회보장', '론', '입문', '번역']","['선량한', '차별', '주의자', '평등', '외치는', '위', '안내서', '혐오', '차별', '잡초', '자란다', '신경', '쓰지', '않으면', '온', '사회', '무성', '해진다', '작은', '차별', '무시', '해도', '되고', '유리한', '차별', '합리', '차등', '이라고', '이야기', '하며', '차별', '대한', '문제', '제기', '시정', '조치', '역차별', '이라고', '공격', '하기도', '말', '심각한', '혐오', '주의자', '차별', '주의자', '아니다', '선량한', '차별', '주의자', '평범한', '선량한', '차별', '주의자', '있다고', '말', '도발', '책', '저자', '김지혜', '교수', '강릉원주대', '다문화', '학과', '차별', '지대', '놓인', '직접', '찾아가는', '현장', '활동가', '이자', '통계학', '회복', '지학', '법학', '넘나', '드는', '통합', '바탕', '국내', '열악한', '혐오', '차별', '문제', '이론', '토대', '구축', '데', '전념', '해온', '연구자', '현장', '밀착', '인권', '혐오', '문제', '연구', '진행', '해온', '연구자', '답', '게', '책', '쉽고', '재미있는', '대중', '글쓰기', '선보인다', '심리', '대한', '국내외', '최신', '연구', '현장', '기록', '생생한', '사례', '학생', '진행', '해온', '토론', '수업', '전문가', '학술', '포럼', '에서의', '다양한', '논쟁', '버', '무려', '일상', '숨겨진', '혐오', '차별', '생생하게', '담아', '냈다', '은밀', '사소하며', '일상', '자연', '스럽게', '벌어지는', '속', '선량한', '놓치고', '있던', '차별', '혐오', '날카롭게', '포착', '내는', '책', '메시지', '분명하다', '선량한', '마음', '만으로', '평등', '이루어지지', '않으며', '익숙한', '질서', '너머', '상상', '평등한', '조직', '해가', '자고', '제안', '차별', '당하면서도', '작은', '문제', '제기', '해보지', '못', '소위', '불', '편러', '차별', '혐오', '시대', '지친', '현대인', '꼭', '읽어야', '책']"
관계 중독,달린 랜서 박은숙,교양인,년 월 일,,인문,"['미국', '결혼', '가족', '전문', '심리상담가', '이자', '인간관계', '상담', '로스쿨', '졸업', '하여', '변호사', '되었으나', '알코올', '중독', '남자친구', '돕기', '위해', '심리', '치료', '경험', '심각한', '관계', '중독', '자임', '깨닫고', '심리상담가', '전향', '안티오크', '대학', '임상심리학', '석사', '학위', '받았으며', '관계', '문제', '겪는', '커플', '가족', '연간', '상담', '왔다', '대중', '강연', '활발히', '있으며', '결혼', '코칭', '전문가', '활동', '있다지는', '책']","['사랑', '중독', '마음', '들여다보니', '수치심', '공', '존', '벗어나', '건강한', '관계', '되찾는', '회복', '심리학', '삶', '의미', '나가', '아닌', '에게서', '찾는', '부탁', '거절', '죄책감', '시달린다', '파트너', '바람', '피우거나', '폭력', '휘둘러도', '떠나지', '못', '배우자', '자식', '잘', '데', '서', '자존감', '찾는다', '연애', '모든', '연인', '맞추느라', '힘겹다', '제일', '두려워하는', '말', '그만', '만나', '에너지', '온통', '쏠려', '삶', '제대로', '꾸리지도', '못', '스스로', '돌보지도', '못', '관계', '중독', '라고', '불리는', '홀로', '선', '없다', '있을', '뿐', '관계', '중독', '자의', '내면', '사랑', '스럽지', '않고', '부끄러워서', '사라져', '버리고', '싶은', '나쁜', '감정', '수치심', '수치심', '사랑', '파괴', '건강한', '관계', '요구', '모든', '행동', '소통', '망', '뜨', '리기', '수치심', '관계', '중독', '서로', '자양', '분', '삼아', '삶', '망친다', '저자', '심각한', '관계', '중독', '자였던', '이야기', '가감', '없이', '드러낸다', '심리', '상담', '만난', '담', '들의', '사례', '바탕', '삼아', '수치심', '관계', '중독', '벗어나는', '방법', '안내']"
아몬드,손원평,창비,년 월 일,,소설시희곡,"['태어났다', '서강대', '사회학', '철학', '공부', '했고', '영화아카데미', '영화', '영화', '연출', '전공', '씨', '영화', '평론', '받았고', '과학기술', '창작', '문예', '공모', '믿어', '요로', '시나리오', '시놉시스', '부문', '수상했다', '정이', '안', '가는', '의미', '단편영화', '각본', '쓰고', '연출', '첫', '장편소설', '아몬드', '창비', '청소년', '문학상', '수상하여', '등단', '두', '번째', '장편소설', '서른', '반격', '주', '평화', '문학상', '아몬드', '서른', '반격', '일본', '서점', '대상', '수상했다', '장편소설', '프리즘', '소설', '집', '집']","['공감', '불능', '사회', '차가', '움', '녹이는', '아몬드', '매혹', '문체', '독특한', '캐릭터', '속', '도감', '넘치는', '전개', '고통', '공감', '능력', '깨우치게', '강력한', '소설', '영화', '강렬하고', '드라마', '팽팽', '완전히', '새로운', '소설', '나타났다', '감정', '느끼지', '못', '소년', '특별한', '성장', '이야기', '첫', '장', '강렬한', '사건', '시작', '페이지', '궁금해지게', '만드는', '흡입', '력', '강한', '작품', '감정', '무감각', '해진', '공감', '불능', '시대', '큰', '울림', '주는', '소설', '작품', '속', '인물', '관계', '맺고', '슬픔', '공감', '하며', '성장해', '나가는', '과정', '탁월하게', '묘사', '영화', '펼쳐지는', '극적', '사건', '매혹', '문체', '독자', '단숨', '사로잡을', '완득이', '위저드', '베이커리', '잇는', '창비', '청소년', '문학상', '수상작', '아몬드', '주인공', '윤재', '감정', '느끼는', '데', '어려움', '겪는', '독특한', '캐릭터', '말', '행동', '이면', '읽어', '내지', '못', '공포', '분노', '잘', '느끼지', '못', '윤재', '평범하게', '살아가려고', '버텨', '오고', '에게서', '남', '웃으면', '웃고', '호의', '보이', '면', '고맙다고', '말', '식', '주입', '식', '감정', '교육', '받기도', '곧이곧대로', '보는', '괴물', '이라고', '손가락질', '받던', '윤재', '날', '비극', '사건', '맡아', '가족', '잃게', '되면서', '홀로', '남는다', '모든', '잃었다고', '하던', '윤재', '곁', '새로운', '인연', '다가온다', '두운', '상처', '간직', '곤', '반대', '맑은', '감성', '지닌', '도라', '윤재', '돕고', '싶어', '심', '박사', '그러한', '인물', '윤재', '사이', '펼쳐지는', '이야기', '감정', '이해', '한다는', '어려운지', '그럼에도', '소중한', '일인', '지', '다시', '보게', '상실', '애도', '감정', '보듬을', '여유', '잃어버린', '채', '독자', '윤재', '응원', '마음', '되돌아볼', '기회', '얻을', '윤재', '덤덤한', '어조', '역설', '읽는', '이의', '더욱', '슬프게', '미며', '독자', '작품', '깊고', '진실한', '감정', '고양', '경험', '있을']"
이것이 인공지능이다,김명락,슬로디미디어,년 월 일,,경제 경영,"['초등학교', '시절', '컴퓨터', '게임', '만드는', '프로그래머', '였던', '저자', '핵융합', '에너지', '인류', '미래', '비전을', '서울대학교', '원자핵', '공', '학과', '진학', '했고', '동', '대학원', '빅데이터', '인공', '지능', '활용', '하여', '핵융합', '장치', '제어', '연구', '수행', '세기말', '묻지', '마', '벤', '처', '투자', '열풍', '한창', '그만두지', '못', '해병대', '소대장', '복무', '마쳤다', '벤', '처', '거품', '완전히', '끝난', '첫', '번째', '창업', '했고', '만에', '실패', '경험', '대기업', '중견', '기업', '전략기획', '신', '사업', '경영', '혁신', '정보', '전략', '건설', '융합', '업무', '맡았으며', '주말', '경영', '대학원', '다니며', '다시', '인공', '지능', '회사', '초록', '소프트', '창업', '회사', '대표', '로서', '지난', '인공', '지능', '이라는', '기술', '시장', '살아남기', '위해', '노력', '인공', '지능', '대한', '시장', '기대', '오해', '가감', '없이', '접', '인공', '지능', '미래', '기술', '만드는', '데', '있지', '않고', '기술', '이해', '활용', '본격', '시작', '될', '이라는', '믿음', '연세대학교', '외국어', '대학교', '금융', '분야', '인공', '지능', '스포츠', '분야', '인공', '지능', '가르치는', '겸임', '교수', '재직', '중이', '세종대', '을지대', '단국대학교', '경희대학교', '울산', '과학기술원', '조선', '대학교', '빅데이터', '인공', '지능', '강의', '하며', '후학', '양성', '인공', '지능', '대중화', '에도', '힘쓰고']","['인공', '지능', '파도', '오고', '있다를', '이끌어가는', '기업', '생생한', '예시', '쉽게', '설명', '인공', '지능', '시대', '준비', '살아가야', '인재', '맡에', '두고', '읽어야', '책', '컴퓨터', '시작', '약', '앨런', '튜링', '박사', '만든', '튜링', '기계', '시작', '되었다', '차', '세계대전', '독일군', '암호', '체계', '에니그마', '해독', '데', '공헌', '하기도', '튜링', '기계', '개념', '컴퓨터', '시작', '이자', '인공', '지능', '기술', '발전', '가져다주었다', '지난', '인공', '지능', '기술', '발전', '기술', '열광했고', '쉽게', '실망하기도', '인공', '지능', '기술', '급격하게', '발전', '했다고', '말', '기대', '인식', '달라졌다고', '보는', '게', '맞는', '말일', '인공', '지능', '시대', '온다고', '컴퓨터', '학원', '대학원', '다니며', '몰두해야', '아니다', '플랫폼', '만드는', '되', '기', '보다는', '잘', '활용', '줄', '아는', '되어야', '인공', '지능', '파도', '다가오고', '파도', '크기', '점점', '커져서', '쓰나미', '삶', '많은', '바꿀', '파도', '빠져서', '죽느냐', '서핑', '즐기며', '보지', '못', '했던', '세계', '나아가느냐', '선택', '달려', '인공', '지능', '파도', '위', '신나게', '놀기', '위', '해서는', '해야', '하는지', '알아보자']"
이렇게 살아가도 괜찮은가,피터 싱어 노승영,시대의창,년 월 일,,인문,"['동물', '해방', '출', '간', '국제', '명성', '얻었다', '프린스턴', '대학교', '가치', '대학', '센터', '생명', '윤리학', '교수', '이자', '멜버른', '대학교', '계관', '교수', '실천', '윤리학', '생명', '현실', '세계', '에서의', '윤리학', '저술', '하였다', '타임', '지는', '세계', '가장', '영향력', '인의', '명단', '포함', '시켰으며', '오스트레일리아', '국가', '최고', '시민', '훈장']","['안녕하지', '못', '던지는', '피터', '싱어', '궁극', '질문', '세계', '동물', '해방', '운동', '불꽃', '지핀', '피터', '싱어', '궁극', '질문', '담긴', '책', '책', '피터', '싱어', '철학', '종교', '영역', '에서만', '논의', '듯', '윤리', '문제', '구체', '삶', '실천', '영역', '끌어당긴다', '좋은', '삶', '이란', '일까', '진정', '바라는', '삶은', '삶일', '까라는', '질문', '던질', '요구', '스스로', '질문', '진정한', '삶', '가능성', '마주', '된다', '책', '질문', '대한', '해답', '찾아가는', '과정', '이자', '좋은', '삶', '현실', '가능함을', '보여주는', '상식', '증명', '여러', '인물', '사건', '대한', '들어', '사는', '좋은', '삶', '인지', '이렇게', '살아가도', '괜찮은지를', '피터', '싱어', '묻는다', '사회', '구성원', '퍼센트', '만이', '질문', '대한', '해답', '찾기', '위해', '행동', '이로', '인한', '삶', '변화', '정부', '주도한', '변화', '클', '이라고', '말', '신화', '속', '시시포스', '지루함', '고통', '느끼고', '현대인', '피터', '싱어', '실천', '윤리', '희망', '다가올']"
지적 대화를 위한 넓고 얕은 지식 제로,채사장,웨일북,년 월 일,,인문,"['겨울', '출', '간', '첫', '책', '지적', '대화', '위', '넓고', '얕은', '지식', '밀', '리언', '셀러', '오르며', '국내', '저자', '위', '기록', '차기작', '현실', '인문학', '다룬', '시민', '교양', '성장', '인문학', '다룬', '열한', '계단', '관계', '인문학', '다룬', '만난다까지', '베스트셀러', '오르며', '명', '넘는', '독자', '사랑', '책', '동명', '팟캐스트', '지대', '넓', '얕은', '장기간', '팟캐스트', '순위', '위', '기록', '하며', '정치', '내용', '판도', '팟캐스트', '시장', '돌풍', '일으켰다', '아이튠즈', '팟캐스트', '위', '기록', '누적', '다운로드', '억', '건', '넘어서며', '방송', '끝난', '지적', '대화', '목말', '라', '청취', '끝없는', '지지', '받는', '중이', '성균관', '대학', '공부', '했으며', '학창', '시절', '내내', '권', '책', '읽을', '지독하게', '다양한', '분야', '관심', '많았다', '문학', '철학', '종교', '서양미술', '현', '대', '물리학', '거쳐', '역사', '사회', '경제', '이르는', '다양한', '지적', '편', '력', '오랜', '사회생활', '하며', '얻은', '경험', '책', '쓰게', '원동력', '되었다', '지적', '대화', '기쁨', '느끼고', '주변', '넓고', '얕은', '지식', '공통분모', '대화', '하고자', '책', '썼다', '현실', '제대로', '이해', '대화', '즐거움', '찾기', '바란다', '글쓰기', '강연', '많은', '사람과', '만나며', '삶', '분리', '되지', '않은', '인문학', '알리는']","['책', '삶', '가장', '앞', '위치', '해야', '책', '모든', '지식', '목차', '지식', '알', '싶으면', '선지', '식이', '필요하다', '앞', '끊임없이', '얻어야', '모든', '지식', '위해', '가장', '밑바탕', '마련', '해야', '지식', '인문', '분야', '국내', '작가', '로는', '드물게', '부라', '더블', '밀', '리언', '셀러', '기록', '작가', '출', '간하는', '책', '화제', '불러일으키며', '베스트셀러', '달성', '작가', '강연', '청중', '꽉', '들어', '차고', '끝난', '지', '넘은', '팟캐스트', '아직도', '상위', '권', '달리', '며', '많은', '기다려', '온', '작가', '채', '사장', '만에', '지적', '대화', '위', '넓고', '얕은', '지식', '신작', '돌아왔다', '작가', '특유', '유머', '필', '력', '어려운', '쉽게', '설명', '지루한', '재밌게', '정리', '기술', '여전하다', '시리즈', '현실', '감각', '빛', '발', '했다면', '책', '오랜', '기간', '사유', '통찰', '유감', '없이', '발휘', '된다', '현대인', '여러', '블랙', '미러', '에도', '수많은', '지식', '접', '파편', '지식', '금세', '휘발', '되고', '삶', '자리', '잡지', '못', '일까', '지식', '이해', '위', '지식', '배경', '약하기', '지식', '종류', '많겠지만', '지식', '알려면', '꼭', '필요한', '선지', '식이', '나와', '세계', '이해', '개인', '관점', '세계관', '형성', '주며', '일상', '파생', '지식', '주체', '이해', '책', '제로', '편', '진정한', '지적', '대화', '싶다면', '제일', '먼저', '접', '해야', '가장', '근본', '지식', '담았다', '책', '이야말로', '지식', '궁극', '목표', '이루게', '나와', '삶', '나아지게', '목표', '말']"
미치게 친절한 철학,안상헌,행성,년 월 일,,인문,"['삶', '문제', '탐구', '인문학자', '독서', '성찰', '일상', '부딪히는', '다양한', '문제', '근원', '탐색', '지혜', '로운', '삶', '해법', '찾는', '글', '쓰고', '인문학', '보급', '애플', '인문학', '당', '운영', '있으며', '아르카디아', '철학', '수업', '진행', '다양한', '기업', '단체', '강의', '사업', '단순히', '물건', '팔고', '사는', '일이', '아니다', '알', '시대', '읽고', '가치', '창조', '종합예술', '중심', '사업가', '철학', '성공하는', '사업가', '만의', '분명한', '철학', '있으며', '철학', '방법', '배우고', '익힌다면', '실패', '줄이는', '아름답게', '만드는', '일조', '사장', '철학', '성공하는', '기업', '경', '영자', '철학', '사업', '연관', '있는지를', '알리', '활용', '위', '목적', '쓰였다', '문화', '공감', '진행', '했고', '경남', '교육청', '인문학', '교육', '진흥', '위원', '단국대학교', '강사', '국민연금', '공단', '문', '강사', '지냈다', '지은', '책', '미치게', '친절한', '철학', '새로운', '공부', '온다', '인문학', '공부', '법', '청춘', '인문학', '외']","['문제', '푸는', '건', '과학', '아니라', '철학', '무심코', '읽다', '끝', '읽게', '철학', '책', '철학사', '끝', '읽어', '본', '될까', '미치게', '친절한', '철학', '철학', '정수', '이해', '있게', '하려고', '최대한', '쉽게', '쓴', '철학', '입', '문서', '소크라테스', '플라톤', '알', '라캉', '들뢰즈', '잘', '알', '지', '못', '이유', '첫', '장', '고대', '철학', '페이지', '읽고', '나면', '재미', '없고', '이해', '힘들어서', '현', '대', '철학', '읽어', '낼', '엄두', '못', '내기', '저자', '다독', '가이자', '인문학', '강사', '유명한', '인문학자', '안상헌', '오랜', '대중', '강연', '대중', '철학', '어려워하고', '멀리', '되었는지', '알', '게', '되었고', '경험', '토대', '책', '쓰게', '되었다', '미치게', '친절한', '철학', '철학', '책', '읽다', '실패한', '철포', '대', '철학', '포기', '자를', '비롯', '청소년', '일반인', '쉽게', '읽어', '내려갈', '아무리', '과학', '발달', '해도', '살아가면서', '겪는', '문제', '과학', '해결', '줄', '없다', '철학', '손', '놓을', '없는', '이유', '철학', '삶', '문제', '치열하게', '학문', '없기']"
