도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
불편한 편의점,김호연,나무옆의자,년 월 일,90,소설시희곡,"['영화', '만화', '소설', '넘나', '들며', '온갖', '이야기', '써', '나가는', '천후', '스토리', '텔러', '생', '고려대학교', '인문', '대학', '국어', '국문학', '졸업', '첫', '직장인', '영화사', '공동', '작업', '시나리오', '이중간첩', '영화', '화', '되며', '시나리오', '작가', '되었다', '두', '번째', '직장인', '출판사', '만화', '기획', '자로', '하며', '쓴', '실험', '지대', '부천', '만화', '스토리', '공모전', '대상', '수상하며', '만화', '스토리', '작가', '되었다', '같은', '출판사', '소설', '편집자', '남', '소설', '만지다가', '급기야', '전업', '작가', '나섰다', '젊은', '날', '닥치는', '글쓰기', '실천', '하던', '장편소설', '망원동', '브라더스', '세계문학', '우수상', '수상하며', '소설가', '되었다', '장편소설', '망원동', '브라더스', '연적', '고스트', '라이터', '스', '파우', '스터', '산문', '집', '쓰고', '다시', '쓰고', '끝', '씁니다를', '펴냈고', '영화', '이중간첩', '태양', '쏴라', '시나리오', '남한', '산성', '기획', '참여', '망원동', '브라더스', '동네', '이야기', '시즌', '불편한', '편의점', '출', '간']","['최고', '재미', '감동', '선사', '힐링', '소설', '원조', '주요', '서점', '종합', '베스트셀러', '위', '국립', '중앙', '도서관', '책', '전국', '개', '도시', '책', '해외', '개국', '판권', '수출', '연극', '불편한', '편의점', '절찬', '상연', '불편한데', '자꾸', '가고', '싶은', '편의점', '힘들게', '낸', '위로', '편의점', '밤', '정체', '불명', '알바로', '시작', '웃음', '감동', '나비효과', '망원동', '브라더스', '김호연', '동네', '이야기', '시즌', '세계문학', '우수상', '수상작', '망원동', '브라더스', '데뷔', '후', '일상', '현실', '위트', '있게', '그린', '경쾌한', '작품', '내밀한', '욕망', '기발한', '상상력', '풀어', '낸', '스릴러', '장르', '오가며', '독자', '작품', '세계', '쌓아', '올린', '작가', '김호연', '번째', '장편소설', '불편한', '편의점', '출', '간', '되었다', '불편한', '편의점', '청파동', '골목', '모퉁이', '자리', '잡은', '작은', '편의점', '무대', '힘겨운', '시대', '살아가는', '이웃', '삶', '속', '희로애락', '따뜻하고', '유머러스하게', '담아', '낸', '작품', '망원동', '브라더스', '망원동', '이라는', '공간', '체험', '지리지를', '잘', '활용', '유쾌한', '재미', '공감', '이끌이어', '냈듯', '오래된', '동네', '청파동', '대한', '공감각', '생생하게', '포착', '흥미진진', '동네', '이야기', '탄생', '시켰다', '서울역', '노숙인', '생활', '하던', '독고', '날', '대', '여성', '지갑', '주워', '준', '인연', '그녀', '운영', '편의점', '야간', '아르바이트', '이야기', '시작', '된다', '덩', '치가', '곰', '같은', '사내', '알코올', '성', '치매', '과거', '기억', '못', '데', '말', '어눌하고', '행동', '굼떠', '손님', '제대로', '있을까', '구심', '갖게', '웬걸', '의외로', '꽤', '잘', '해낼', '뿐', '아니라', '주변', '묘', '사로잡으면서', '편의점', '밤', '지키는', '든든한', '일꾼', '되어', '간다', '현', '실감', '넘치는', '캐릭터', '간의', '상호작용', '점', '입가', '경', '형상', '화하는', '데', '일가견', '작가', '작품', '답', '게', '소설', '에서도', '독특한', '개성', '사연', '지닌', '인물', '차례', '등장', '서로', '티격태격하', '며', '별난', '관계', '형성', '간다', '고등학교', '역사', '가르치다', '정년', '퇴', '임하여', '매사', '교사', '본능', '발동', '편의점', '사장', '염', '여사', '필', '두', '대', '취준생', '알바', '시', '현', '대', '생계', '형', '알바', '여사', '밤', '야외', '테이블', '참깨', '라면', '참치', '김밥', '참이슬', '세트', '혼술', '하며', '스트레스', '푸는', '회사원', '경만', '이라는', '각오', '청파동', '글', '쓰러', '들어온', '대', '희곡작가', '인경', '호시탐탐', '편의점', '팔아치울', '기회', '엿보는', '염', '여사', '아들', '민', '식', '민', '식', '의뢰', '받아', '독고', '뒤', '캐는', '사설탐정', '곽', '녹록', '지', '않은', '무게', '현실', '문제', '안고', '시선', '독고', '관찰', '과정', '발생', '오해', '대립', '충돌', '반전', '이해', '공감', '자주', '폭소', '자아내고', '울컥', '눈시울', '붉어지게', '그렇게', '골목길', '작은', '편의점', '불편하기', '짝', '없는', '곳', '이었다가', '고단', '삶', '위로', '웃음', '나누는', '특별한', '공간', '된다']"
파친코 ,이민진 신승미,인플루엔셜,년 월 일,77,소설시희곡,"['세계', '뜨거운', '관심', '사랑', '받고', '계', '미국인', '소설가', '경계', '으로서의', '날카로운', '시선', '공감', '바탕', '통찰', '력', '복잡다단한', '역사', '본질', '포착', '하며', '제인', '오스틴', '조지', '엘리엇', '잇는', '작가', '찬사', '속', '세계', '작가', '발돋움', '태어난', '작가', '가족', '미국', '뉴욕', '건너갔다', '일대', '역사학', '공부', '후', '조지타운', '대학교', '로스쿨', '졸업', '변호사', '했으나', '건강', '문제', '그만두게', '되면서', '오랜', '꿈이었던', '글쓰기', '시작', '단편소설', '발표', '하며', '주목', '받기', '시작', '했고', '미국', '이민자', '이야기', '담은', '첫', '장편소설', '백만장자', '위', '공짜', '음식', '작가', '로서', '이름', '알렸다도', '번째', '장편소설', '파친코', '작가', '역사학', '학생', '이었던', '자이니치', '라', '불리는', '재일조선인', '이야기', '써야겠다고', '결심', '후', '출', '간', '되기까지', '가까운', '세월', '혼신', '노력', '기울여', '집필', '대작', '일본', '계', '미국인', '남편', '연간', '일본', '머물며', '방대하고', '치밀한', '조사', '취재', '끝', '이야기', '완성', '대에', '걸친', '가족사', '일제강점기', '전쟁', '일본', '버블경제', '이르', '기', '까지의', '역사', '흐름', '속', '다룬', '책', '출', '간', '미국', '사회', '큰', '반향', '일으켰다', '뉴욕타임스', '투데이', '아마존', '개', '넘는', '주요', '매체', '앞', '다투어', '책', '선정', '했고', '미도', '서', '최종', '후보', '올랐다', '개국', '번역', '출', '간되', '며', '세계', '베스트셀러', '오른', '파친코', '새로운', '역사', '써', '나가고', '이민', '진', '작가', '뉴욕', '거주', '하며', '한국인', '디아스포라', '부작', '완결', '될', '세', '번째', '장편소설', '집필', '몰두하고']","['역사', '버렸지만', '상관없다', '역사', '외면', '당', '재일조선인', '가족', '대', '서', '사극', '세계', '감동', '시킨', '이민', '진', '작가', '화', '제작', '파친코', '새롭게', '출', '간', '한국인', '이야기', '주인공', '될', '가치', '가능한', '오래', '한국인', '이야기', '쓰고', '싶다', '독자', '대에', '걸친', '재일조선인', '가족', '이야기', '그린', '세계', '베스트셀러', '이민', '진', '작가', '장편소설', '파친코', '새롭게', '출', '간', '되었다', '파친코', '재미교포', '세대', '이민', '진', '작가', '달', '세월', '걸쳐', '집필', '대하', '소설', '출', '간', '되어', '뉴욕타임스', '베스트셀러', '올랐다', '세계', '개국', '번역', '수출', '되었으며', '아마존', '개', '주요', '매체', '책', '선정', '되었을', '뿐', '아니라', '미도', '서', '최종', '후보', '이름', '올리며', '평단', '대중', '사로잡은', '작품', '버락', '오바마', '미국', '대통령', '으로부터', '회복', '연민', '대한', '강력한', '이야기', '찬사', '받으며', '주목', '지난', '판권', '계약', '종료', '되며', '절판', '되었던', '파친코', '새로운', '번역', '디자인', '독자', '돌아왔다', '첫', '문장', '역사', '버렸지만', '상관없다에서부터', '원문', '의미', '충실하게', '전달', '하고자', '했으며', '작품', '특유', '속', '도감', '문체', '살리고자', '노력', '작가', '의도', '구조', '흐름', '살리기', '위해', '총', '세', '파트', '투', '고향', '부', '모국', '부', '파친코', '원서', '구성', '그대로', '따랐다', '새', '출', '간', '기념', '독자', '보내는', '글', '한국인', '이야기', '쓰는', '이유', '밝혔다', '작가', '매력', '이기', '라며', '한국인', '지적', '으로나', '감성', '으로나', '깊이', '이야기', '주인공', '될', '가치', '들이기에', '앞', '이야기', '젊은', '세대', '들려주고', '싶다며', '독자', '각별', '애정', '표']"
윤성우의 열혈  프로그래밍,윤성우,오렌지미디어,년 월 일,55, 모바일,"['벤', '처', '회사', '하다가', '분야', '집필', '강의', '이름', '알려진', '연대', '초반', '까지는', '소프트웨어', '아키텍트', '하다가', '그래픽스', '라이브러리', '구현', '가속', '칩', '크로노스', '그룹', '모바일', '국제', '표준화', '컨소시엄', '표준', '안', '참여', '하였다', '핸드폰', '용', '칩', '에도', '참여', '하였으며', '액', '시스', '소프트', '록', '있으면서', '웹', '기반', '설루션', '관심', '갖고', '날', '조깅', '하며', '다양한', '구상', '저자', '방법론', '근거', '소프트웨어', '설계', '전문가', '모든', '분야', '활발히', '활동', '하여', '소프트웨어', '발전', '기여', '해야', '한다는', '갖고', '프로그래밍', '공부', '모르는', '없을', '같은', '베스트셀러', '저자', '쉽게', '설명', '방법', '대해', '있으며', '결과', '바탕', '책', '집필', '프로그래머', '직업', '충실하기', '위해', '적지', '않은', '기간', '집필', '활동', '없었지만', '그간', '축적', '에너지', '바탕', '책', '쓸', '계획', '집필', '임']","['연도', '출', '간', '유성우', '열', '혈', '강의', '프로그래밍', '개정판', '출', '간', '가장', '많은', '독자', '선택', '해온', '언어', '기', '본', '서', '로서', '자리', '이어가기에', '부족함', '없도록', '개정', '되었다', '본', '도서', '강의', '필요', '없을', '쉽게', '설명', '되어', '책', '강의', '필요한', '독자', '위해', '서', '저자', '직접', '본', '도서', '내용', '강의', '책', '유명한', '강의', '언어', '쉽게', '공부', '있을', '사이', '저자', '여러', '서적', '집필', '쌓아', '온', '경험', '독자', '다양한', '의견', '바탕', '새롭게', '태어난', '개정판', '언어', '공부', '데', '가장', '든든한']"
물고기는 존재하지 않는다,룰루 밀러 정지인,곰출판,년 월 일,54,자연과학,"['방송', '계', '퓰리처상', '불리는', '피어', '버디', '수상한', '과학', '문', '기자', '넘게', '미국', '공', '라디오', '방송국', '행동', '형성', '보이지', '않는', '힘들에', '관', '이야기', '나누는의', '인비', '빌리아의', '공동', '기획', '뉴욕', '공', '라디오', '방송국', '라디오', '랩', '두', '자주', '참여', '있으며', '뉴요커', '오리온', '렉', '트릭', '리터', '리처', '캐터펄트', '글', '기고', '해왔다', '지구', '가장', '좋아하는', '지점', '험', '프', '백락', '블루', '리지', '산맥', '험프', '백산', '정상', '부근', '녹암', '노두', '룰루', '밀러', '논픽션', '데뷔', '작', '물고기', '존재', '않는다는', '전기', '이자', '회고록', '이자', '과학', '험담', '혼돈', '항상', '승리', '세계', '꿋꿋', '버텨내는', '삶', '관', '우화', '읽히는', '경이', '로운', '책']","['방송', '계', '퓰리처상', '피버디상', '수상자', '룰루', '밀러', '사랑', '혼돈', '과학', '집착', '관', '경이', '롭고', '충격', '데뷔', '작', '방송', '계', '퓰리처상', '불리는', '피어', '버디', '수상한', '과학', '전문', '기자', '룰루', '밀러', '경이', '로운', '논픽션', '물고기', '존재', '않는다는', '여러', '언론', '매체', '최고', '책', '선정', '수많은', '찬사', '받은', '화제', '베스트셀러', '집착', '가까울', '자연계', '질서', '부여', '하려', '했던', '세기', '과학자', '삶', '흥미롭게', '좇아가', '책', '독자', '혼돈', '복판', '데려가서', '믿고', '있던', '삶', '질서', '관해', '의문', '기한', '물고기', '존재', '않는다는', '엄연한', '그렇다면', '잘못', '알', '있을까', '말', '에게는', '질문', '살아가는', '데', '아무런', '영향', '미치지', '않을', '바라보는', '진실한', '관계', '한층', '가까이', '다가가기', '위해', '노력', '에게는', '분명히', '책', '놀라운', '영감', '한쪽', '치우치지', '않는', '폭넓은', '시야', '제공', '줄', '물고기', '존재', '않는다면', '세계', '관해', '아직', '모르고', '뭐', '있을까', '범주', '무너질', '일까', '구름', '생명', '존재', '있을까', '알겠는가', '해왕성', '다이아몬드', '비', '내린다는데', '정말', '과학자', '알아냈다', '오래', '검토', '할수록', '이상한', '곳', '밝혀질', '쪽']"
대학물리학,      대학물리학교재편찬위원회,북스힐,년 월 일,51,대학교재,[],"['북스힐', '대학', '물리학', '판', '개정판']"
공정하다는 착각,마이클 샌델 함규진,와이즈베리,년 월 일,50,사회 정치,"['정의', '열풍', '불러일으켰다', '세', '최연', '소', '하버드', '대학교', '교수', '되었고', '세', '자유', '주의', '이론', '대가', '존', '롤스', '정의론', '비판', '자유', '주의', '정의', '한계', '발표', '세계', '명성', '얻었다', '하버드', '대학교', '정치철학', '가르치고', '있으며', '수업', '학생', '사이', '최고', '명', '강의', '손', '꼽힌다', '존', '롤스', '정의', '분야', '세계', '학자', '인정받는', '명실', '공', '히', '시대', '최고', '석', '학', '이자', '철학', '계', '록스타', '대표', '저서', '정의', '란', '인가', '돈', '없는', '정치', '도덕', '말', '완벽', '대한', '반론', '정의', '한계', '마이클', '샌델', '중국', '만나다는', '중국', '철학', '연구자', '마이클', '샌델', '이론', '저작', '동양', '철학', '분석', '평론', '대한', '샌델', '모은', '동', '서양', '철학', '대화', '살펴봄으로써', '마이클', '샌델', '정의', '새롭게', '경험', '있을']","['마이클', '샌데', '만의', '신간', '공정하다는', '착각', '출', '간', '샌델', '기울어진', '사회', '구조', '이면', '도사', '린', '능력', '주의', '덫', '해체', '또다시', '공정', '화두', '언론', '미디어', '부유', '층', '빈곤층', '청년', '장년', '정치인', '입', '끊임없이', '쏟아져', '나온다', '기업', '정규직', '비정규직', '논란', '비롯', '공정', '채용', '문제', '혼란', '빠져', '정치권', '에선', '공정', '경', '제법', '재난', '지', '원금', '대한', '각기', '해석', '떠들썩하다', '대통령', '공정', '불공정', '부르는', '상황', '언급', '하며', '어려움', '토로', '하기도', '이렇듯', '공정', '이라는', '화두', '두고', '각계', '각층', '충돌', '상황', '마이클', '샌델', '하버드대', '교수', '돈', '없는', '만에', '쓴', '신간', '공정하다는', '착각', '출', '간', '되었다', '책', '란', '원', '제로', '미국', '현지', '출', '간', '되어', '뜨거운', '반응', '얻고', '직역', '능력', '주의', '폭정', '공', '동선', '만드나', '샌델', '책', '노력', '성공할', '있다고', '너무나도', '당연히', '해왔던', '개인', '능력', '사하고', '보상', '주는', '능력', '주의', '근본', '크게', '잘', '못', '되어', '있다고', '주장', '능력', '주의', '제대로', '공정하게', '작동', '있는지', '공정함', '정의', '란', '공식', '정말', '맞는', '진지하게', '되', '짚어', '본다']"
생각의 탄생,로버트 루트번스타인 미셸 루트번스타인 박종성,에코의서재,년 월 일,48,인문,"['미시간주립대', '교수', '천재', '성', '지닌', '작가', '학자', '선정', '지원', '하다고', '천재', '기금', '이라고도', '불리는', '맥아더', '펠로십', '수상자', '아내', '미셸', '루트', '번스타인', '창조', '법', '대해', '쓴', '탄생', '국내', '소개', '되어', '많은', '독자', '사랑', '책', '주요', '언론사', '뽑은', '책', '선정', '되', '기도']","['레오나르도', '다빈치', '아인슈타인', '파블로', '피카소', '마르셀', '뒤샹', '리처드', '파인먼', '버지니아', '울프', '제인', '구달', '스트라빈스키', '마사', '그레이엄', '역사', '속', '뛰어난', '창조성', '발휘', '과학', '수학', '의학', '문학', '미술', '무용', '분야', '막론', '공통', '발상', '법', '단계', '별로', '정리', '역사상', '가장', '위대하다고', '손꼽히는', '천재', '창작', '경험', '대해', '했으며', '법', '배웠는지', '구체', '설명', '준다', '저자', '발상', '법', '관찰', '형상', '화', '추상', '패턴인식', '패턴', '형성', '유추', '몸', '감정이입', '차원', '사고', '모형', '만들기', '놀이', '변형', '통합', '단계', '나누어', '논리', '정연', '게', '설명', '뿐', '아니라', '직관', '상상력', '갈고', '닦아', '창조성', '발휘', '방법', '구체', '시한', '음악', '듣고', '그림', '본다', '창조', '천재', '그림', '듣고', '음악', '본다', '루치아노', '파바로티', '피아노', '앞', '노래', '부르는', '머릿속', '음악', '그리는', '많다고', '청각', '형상', '화', '레오나르도', '다빈치', '패턴인식', '새로운', '떠올리곤', '산', '강', '바위', '보며', '전투', '장면', '기이한', '얼굴', '연상', '형상', '무한', '히', '다양한', '대상', '그려', '냈다', '그늘', '마음', '눈', '관찰', '머릿속', '형상', '그리며', '모형', '만들고', '유추', '하여', '통합', '통찰', '얻었다', '저자', '창조성', '소수', '천재', '만의', '유물', '아니라고', '말', '활용', '창조', '사고', '도구', '면', '창조성', '대가', '될', '있다는', '상상력', '학습', '안', '천재', '성', '깨우게', '만드는', '책', '미래', '예술가', '과학자', '인문학자', '기술자', '창조', '사고', '활성화', '시켜', '세계', '건설', '있도록', '도와줄', '독자', '대상', '공모전', '수상작', '보러', '에코', '서재', '블로그', '가기', '클릭']"
역행자,자청,웅진지식하우스,년 월 일,46,자기계발,"['대', '초반', '경제', '자유', '이룬', '사업가', '이자', '역행', '신드롬', '일으킨', '베스트셀러', '작가', '유튜브', '크리에이터', '자청', '자수', '성가', '청년', '줄임말로', '이미', '대', '초반', '않아도', '억', '씩', '버', '자동', '수익', '완성', '소유', '자산', '매년', '퍼센트', '투자', '수익률', '올리며', '경제', '자유', '실현', '운영', '대표', '온라인', '로는', '이상한', '마케팅', '프드프', '아트', '라', '상이', '오프라인', '으로는', '욕망', '북', '카페', '청담', '피니', '바', '라보', '유튜브', '채널', '라이프', '해커', '자청', '단', '편의', '영상', '업로드', '단기간', '독자', '달성', '기염', '토', '저자', '무', '자본', '연쇄', '창업', '마로', '명성', '떨치며', '수많은', '사업', '성공', '시켰으나', '대', '외모', '돈', '공부', '점', '에서도', '최', '하위', '였다', '그러던', '스무', '에도', '게임', '공략', '집', '있다는', '깨', '달으면서', '삶', '바뀌기', '시작', '권', '책', '독파', '하며', '얻은', '치트키', '활용', '창업', '연', '성공한', '저자', '성공', '시킨', '비즈니스', '모델', '초보', '왕초보', '가르치는', '분야', '든', '저렴한', '가격', '도움', '받고', '싶은', '왕초보', '수요', '분명히', '존재', '에겐', '기본', '알려줘도', '진척', '도울', '착안', '저자', '여러', '비즈니스', '설계', '공통점', '투자', '비용', '들어가지', '않는', '무', '자본', '창업', '않아도', '돈', '들어오는', '자동화', '수익', '어느새', '유튜버', '라이프', '해커', '자청', '이라는', '캐릭터', '무', '자본', '창업', '이라는', '개념', '고정관념', '깨는', '상징', '됐다', '자청', '첫', '책', '역행', '부와', '행복', '쟁취', '위', '방법', '단계', '모델', '체계', '화하며', '출', '간', '서점', '종합', '베스트셀러', '위', '기록', '만에', '부라', '기록', '판매', '보이', '며', '그야말로', '신드롬', '불러일으켰다', '수많은', '순', '기자', '역행', '길', '이끌고']","['오타쿠', '흙', '수저', '억', '자동', '수익', '실현', '무', '자본', '연쇄', '창업', '마', '라이프', '해커', '자청', '역주행', '공식', '대', '공개', '유전자', '본성', '명령', '그대로', '따르기', '평범함을', '벗어날', '없다', '정작', '이를', '모른', '채', '달라', '자의식', '사로잡혀서', '무한', '합리화', '빠져', '살아간다', '스스로', '많은', '정신', '심리', '오류', '저지르는지', '알', '지', '못', '채', '똑같은', '쳇바퀴', '돌', '뿐', '자유', '얻지', '못', '하는가', '늘', '돈', '이야기', '하면서도', '평생', '돈', '허덕이는가', '저자', '역시', '스무', '까지는', '쳇바퀴', '갇혀', '있었기', '상황', '잘', '알았다', '자청', '첫', '책', '역행', '가난한', '벗어나', '경제', '자유', '행복', '얻은', '저자', '깨달', '레벨', '업', '치트키', '빼곡', '히', '담겨', '대', '외모', '돈', '공부', '에서도', '최', '하위', '였다', '그러던', '스무', '에도', '게임', '공략', '집', '있다는', '깨닫고', '삶', '바뀌기', '시작', '권', '책', '독파', '하며', '얻은', '치트키', '활용', '창업', '연', '성공한', '연봉', '억', '무', '자본', '창업가', '유명해진', '단', '개', '영상', '독자', '넘어서며', '화제', '모았으나', '곧장', '미련', '없이', '유튜브', '그만뒀다', '본업', '온라인', '마케팅', '비즈니스', '비롯', '다방면', '사업', '확장', '사이', '라이프', '해커', '자청', '이라는', '캐릭터', '무', '자본', '창업', '이라는', '개념', '고정관념', '깨는', '상징', '됐다', '자청', '찾아낸', '역행', '단계', '모델', '추월', '차선', '향', '하자', '설계', '무료', '홈페이지', '제작', '플랫폼', '만에', '홈페이지', '제작', '네이버', '블로그', '채널', '무료', '마케팅', '투자', '비용', '들어가지', '않는', '무', '자본', '창업', '형태', '였다', '라이프', '해커', '자청', '이라는', '캐릭터', '무', '자본', '창업', '이라는', '개념', '고정관념', '깨는', '시그널', '됐다', '자청', '찾아낸', '역행', '단계', '모델', '부와', '행복', '갈망', '독자', '저자', '겪은', '시행착오', '단', '줄일', '못', '믿겠는가', '불안', '의심', '버리고', '저자', '추월', '차선', '타러', '가보자']"
고체전자공학,벤 스트리트만,피어슨에듀케이션코리아,년 월 일,45,대학교재,[],[]
밑바닥부터 시작하는 딥러닝 ,사이토 고키 개앞맵시,한빛미디어,년 월 일,37, 모바일,"['나가사키', '현', '쓰시마', '태생', '도쿄', '공업', '대학교', '공', '학부', '졸업', '도쿄', '대학', '대학원', '학', '정보', '학부', '석사', '과정', '수료', '기업', '컴퓨터', '비', '전과', '기계학습', '연구개발', '매진', '오라', '일리', '재팬', '밑바닥', '시작', '딥', '러닝', '집필', '했으며', '실천', '파이썬', '컴퓨터', '시스템', '이론', '구현', '실천', '기계학습', '시스템', '번역']","['직접', '구현', '움직여', '보며', '익히는', '가장', '쉬운', '딥', '러닝', '입문', '서', '책', '라이브러리', '프레임워크', '의존', '않고', '딥', '러닝', '핵심', '밑바닥', '직접', '만들어', '보며', '즐겁게', '배울', '본격', '딥', '러닝', '입', '문서', '술술', '읽힐', '쉽게', '설명', '하였고', '역전', '파', '어려운', '내용', '계산', '그래프', '기법', '풀이', '작동', '코드', '직접', '돌려', '보고', '요리조리', '수정', '보면', '어려운', '이론', '명확하게', '이해', '딥', '러닝', '새롭게', '입문', '하려는', '분과', '기초', '다시금', '정리', '싶은', '현', '업', '연구자', '최고', '책', '될']"
