도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
지구에서 한아뿐,정세랑,난다,년 월 일,19,소설시희곡,"['태어났다', '판타스틱', '발표', '하며', '작품', '활동', '시작', '가까이', '창비', '장편소설', '피', '프티', '피플', '일보', '문학상', '소설', '집', '옥상', '만나요', '목소리', '드릴게요', '장편소설', '덧니', '보고', '싶어', '지구', '한아', '뿐', '재인', '재욱', '재훈', '보건', '교사', '안은영', '시선', '으로부터', '산문', '집', '지구인', '지구', '사랑', '순', '없어']","['창비', '장편소설', '일보', '문학상', '수상', '작가', '정세', '람', '두', '번째', '장편소설', '외계인', '경민', '지구인', '한아의', '희귀', '종류', '사랑', '이야기', '그렸다', '출', '간', '후', '아쉽게', '절판', '되어', '중고', '책', '고가', '거래', '될', '애독자', '큰', '사랑', '받은', '이야기', '난다에서', '개정판', '재', '출', '간', '이야기', '곳곳', '내용', '문장', '세심', '다듬고', '표지', '채지민', '화가', '그림', '새로운', '옷', '입혔다', '활달', '재치', '문체', '눈물', '왈칵', '쏟아질', '듯', '다정함이', '특징', '정세랑', '초대', '독자', '무방비', '건네는', '속수무책', '사로잡히고', '말', '칫솔', '근사할', '적당량', '치약', '묻혀', '건네는', '모습', '감동', '한아는', '탄소', '생활', '몸소', '실천', '의류', '리폼', '디자이너', '그녀', '환생', '이라는', '작은', '옷', '선집', '운영', '하며', '이야기', '담긴', '옷', '작은', '새', '로움', '해주곤', '한아에게는', '스무', '좋아한', '만난', '지', '남자친구', '경민이', '늘', '익숙한', '곳', '머물려', '한아와', '달리', '자유분방하게', '살아가는', '경민', '에도', '유성우', '보러', '캐나다', '훌쩍', '떠나', '버린다', '사정', '고려', '주지', '않는', '경민이', '늘', '서운했지만', '체념', '이라고', '부르는', '애정도', '한아', '때마침', '캐나다', '운석', '떨어져', '소동', '벌어졌다는', '뉴스', '한아는', '걱정', '경민', '무사히', '돌아왔지만', '어딘', '지', '미묘하게', '낯설어졌다', '있던', '커다란', '흉터', '사라졌는가', '그렇게나', '싫어하던', '무침도', '맛있게', '먹는다', '보다도', '한아를', '늘', '기다리게', '했던', '였는데', '한아에게', '집중', '하며', '듯', '기분', '준다', '달라진', '경민', '모습', '수상한', '행동', '의심스러운', '한아는', '잘', '못', '되어', '간다', '혼란', '빠지는데']"
돈의 속성 쇄 리커버,김승호,스노우폭스북스,년 월 일,19,경제 경영,"['한인', '기업', '최초', '글로벌', '외식', '그룹', '회장', '세계', '오가며', '강연', '수업', '사장', '가르치는', '사장', '알려져', '대학', '중퇴', '후', '미국', '간', '뒤', '흑인', '동네', '식품점', '시작', '이불', '가게', '식품점', '지역', '신문사', '컴퓨터', '조립', '회사', '주식', '선물거래소', '유기농', '식품점', '운영', '하며', '실패', '거듭', '그러던', '억', '원', '분납', '조건', '식당', '체인', '인수', '후', '미', '전역', '개', '매장', '오픈', '영국', '캐나다', '연관', '과의', '합병', '세계', '개국', '총', '개', '넘는', '매장', '유통', '망', '임', '직원', '명의', '그룹', '성장했다', '스노', '폭스', '총', '매출', '조', '원', '이루고', '나스닥', '상장', '앞두고', '외식', '기업', '에도', '출판사', '화훼', '유통업', '금융업', '부동', '산업', '회사', '소유', '글로벌', '외식', '그룹', '대', '주', '주', '로서', '미국', '세계', '오가며', '활동', '미국', '중견', '기업인', '협회', '회장', '중앙', '대학교', '글로벌', '경영', '과정', '교수', '활동', '했으며', '지난', '사장', '명의', '사업가', '제자', '양성', '농장', '경', '자로', '저서', '로는', '경영', '노트', '김밥', '파는', '비밀', '알면서도', '알', '지', '못', '쇄', '돌파', '돈', '속성', '장기', '베스트셀러', '작가', '스노', '폭스', '도시락', '매장', '스노', '폭스', '플라워', '매장', '강남', '중심', '확장', '중이']","['연속', '최', '장기', '베스트셀러', '깨어있는', '독자', '선택', '경제', '경영', '필독', '서', '돈', '속성', '돈', '속성', '쇄', '기념', '개정', '증보', '판', '발행', '돈', '속성', '쇄', '기념', '김승호', '회장', '추가', '메시지', '담다', '중국', '일본', '대만', '태국', '개국', '출', '간이', '책', '초판', '발행', '후', '경제', '경영', '필', '서로', '자리매', '김', '돈', '속성', '쇄', '기념', '개정', '증보', '판이', '쇄', '맞춰', '코로나', '바뀐', '경제', '상황', '돈', '관', '김승호', '회장', '추가', '메시지', '담았다', '돈', '속성', '극장', '빌려', '대중', '강의', '했던', '내용', '기반', '집필', '됐다', '강연', '방송', '전파', '되며', '유튜브', '셀럽', '공유', '전파', '거듭', '이내', '명', '전달', '되기에', '이르렀다', '여러', '생산', '재생산', '과정', '의미', '뜻', '정확히', '전달', '되지', '않았거나', '의미', '왜곡', '일이', '권', '저술', '저자', '책', '쓰기', '가장', '어렵다는', '상황', '다시', '펜', '잡기', '결정', '내면', '깃', '든', '대한', '애정', '정말', '필요하고', '중요하지만', '말', '않는', '돈', '버', '방법', '돈', '벌어', '본', '방법', '공유', '않기에', '일이', '저자', '주어진', '받아들였다', '젊은', '날', '모습', '투영', '되기에', '횡재', '일명', '주식', '없이', '말', '그대로', '맨손', '만들어', '낸', '종잣돈', '돈', '버', '방법', '알려', '준다', '부모', '받은', '유산', '은커녕', '대', '후반', '낡은', '자동차', '판매', '과일', '싣고', '다니던', '가난한', '이민', '가장이', '이룬', '부', '대한', '모든', '방법', '담겼다', '종잣돈', '천만', '원', '만들고', '돈', '억', '원', '억', '원', '억', '원', '수천억', '원', '될', '돈', '관리', '하며', '터득', '돈', '가진', '속성', '정리', '안내서', '부자', '인물', '말', '해주는', '돈', '만들기', '대한', '책', '돈', '가진', '속성', '돈', '대한', '가르침', '원', '벌고', '직장인', '마이너스', '생활', '중인', '직장', '없는', '청년', '가용', '자금', '투자', '처', '찾고', '너머', '돈', '운용', '재력', '투자가', '사업가', '또는', '만큼은', '가난', '물려줄', '없다는', '부모', '라도', '꼭', '필요한', '조언', '찾을', '있다는', '점', '책', '가장', '큰']"
 회계원리,김영덕,다임,년 월 일,18,수험서 자격증,"['고려대학교', '경영학', '고려대학교', '대학원', '경영학', '졸업', '회계학', '전공', '공인', '회계사', '세무사', '영화', '회계법인', '현', '한영', '회계법인', '신한', '회계법인', '근무', '시립대', '강사', '역임', '했으며', '생산', '성', '본부', '기업', '회계', '실무', '강의', '주', '삼일', '인포', '마인', '기겁', '회계', '실무', '강의', '중앙', '아이피', '기업', '회계', '실무', '강의', '한미', '은행', '형', '씨티', '은행', '심사', '역', '사내', '연수', '거래소', '사내', '연수', '한화', '인력', '원', '사내', '연수', '금융감독원', '연결', '회계', '강의', '세무', '회계', '컨설팅', '대표', '경영', '아카데미', '강사', '국세청', '사이버', '직무', '교육과정', '강사', '이며', '상장회사', '협의', '기업', '회계', '실무', '강의', '경', '아카데미', '아카데미', '실무', '강의', '대한', '세', '정연', '연결', '회계', '현금흐름표', '실무', '강의', '우스', '아카데미', '현금흐름표', '실무', '강의', '저서', '회계', '원리', '급', '회계', '고급', '회계', '객관', '식', '재무회계', '재무회계', '연습', '당일치기', '재무회계', '현금흐름표', '작성', '실무', '저서', '로는', '엑스', '클레', '이브']","['회계', '원리', '모든', '회계', '기초', '본', '서는', '회계', '관', '기본', '개념', '설명', '본', '서는', '회계', '막', '시작', '하시는', '분', '위', '본', '서는', '깊이', '주제', '다루지', '않는다', '본', '서', '주제', '급', '회계', '다시', '다루게', '된다', '정확한', '이해', '없어도', '괜찮은', '급', '회계', '다루지', '않는', '주제', '알아야']"
달러구트 꿈 백화점 ,이미예,팩토리나인,년 월 일,18,소설시희곡,"['부산', '태어났다', '부산', '대', '재료공학', '공부', '반도체', '엔지니어', '크라', '우드', '펀딩', '프로젝트', '주문', '하신', '꿈', '매진', '달러', '구트', '꿈', '백화점', '첫', '소설', '발표', '후원자', '열렬한', '지지', '받아', '성공', '펀딩', '종료', '하였다', '달러', '구트', '꿈', '백화점', '교보', '문고', '영풍문고', '종합', '베스트셀러', '예스', '인터파크', '알라딘', '영풍문고', '뽑은', '책', '수상하였고', '서점', '뽑은', '책', '부천', '창원', '포천', '남양주시', '용인시', '정부', '대구', '책', '선정', '되었다', '상반기', '교보', '문고', '예스', '종합', '베스트셀러', '위', '차지', '하였다']","['여기는', '잠들어야만', '입장', '달러', '구트', '꿈', '백화점', '잠들어야만', '입장', '독특한', '마을', '곳', '들어온', '잠든', '손님', '가장', '인기', '곳', '온갖', '꿈', '모아', '판매', '달러', '구트', '꿈', '백화점', '긴', '잠', '자는', '짧은', '낮잠', '자는', '동물', '대', '성황', '이룬다', '범', '상치', '않은', '혈통', '주인', '장', '달러', '구트', '최측근', '신참', '직원', '페니', '꿈', '만드는', '아가', '넵', '코코', '베일', '둘러싸인', '비고', '어스', '등장', '달러', '구트', '꿈', '백화점', '무의식', '에서만', '존재', '꿈', '정말', '사고팔', '있을까', '기발한', '질문', '답', '찾아가며', '꿈', '만드는', '파는', '사는', '비밀스러운', '에피소드', '담고', '판타지', '소설', '텀블벅', '펀딩', '달성', '전자책', '출', '간', '베스트셀러', '위', '기록', '하며', '수많은', '독자', '요청', '종이', '책', '출', '간하게', '되었다']"
공정하다는 착각,마이클 샌델 함규진,와이즈베리,년 월 일,17,사회 정치,"['정의', '열풍', '불러일으켰다', '세', '최연', '소', '하버드', '대학교', '교수', '되었고', '세', '자유', '주의', '이론', '대가', '존', '롤스', '정의론', '비판', '자유', '주의', '정의', '한계', '발표', '세계', '명성', '얻었다', '하버드', '대학교', '정치철학', '가르치고', '있으며', '수업', '학생', '사이', '최고', '명', '강의', '손', '꼽힌다', '존', '롤스', '정의', '분야', '세계', '학자', '인정받는', '명실', '공', '히', '시대', '최고', '석', '학', '이자', '철학', '계', '록스타', '대표', '저서', '정의', '란', '인가', '돈', '없는', '정치', '도덕', '말', '완벽', '대한', '반론', '정의', '한계', '마이클', '샌델', '중국', '만나다는', '중국', '철학', '연구자', '마이클', '샌델', '이론', '저작', '동양', '철학', '분석', '평론', '대한', '샌델', '모은', '동', '서양', '철학', '대화', '살펴봄으로써', '마이클', '샌델', '정의', '새롭게', '경험', '있을']","['마이클', '샌데', '만의', '신간', '공정하다는', '착각', '출', '간', '샌델', '기울어진', '사회', '구조', '이면', '도사', '린', '능력', '주의', '덫', '해체', '또다시', '공정', '화두', '언론', '미디어', '부유', '층', '빈곤층', '청년', '장년', '정치인', '입', '끊임없이', '쏟아져', '나온다', '기업', '정규직', '비정규직', '논란', '비롯', '공정', '채용', '문제', '혼란', '빠져', '정치권', '에선', '공정', '경', '제법', '재난', '지', '원금', '대한', '각기', '해석', '떠들썩하다', '대통령', '공정', '불공정', '부르는', '상황', '언급', '하며', '어려움', '토로', '하기도', '이렇듯', '공정', '이라는', '화두', '두고', '각계', '각층', '충돌', '상황', '마이클', '샌델', '하버드대', '교수', '돈', '없는', '만에', '쓴', '신간', '공정하다는', '착각', '출', '간', '되었다', '책', '란', '원', '제로', '미국', '현지', '출', '간', '되어', '뜨거운', '반응', '얻고', '직역', '능력', '주의', '폭정', '공', '동선', '만드나', '샌델', '책', '노력', '성공할', '있다고', '너무나도', '당연히', '해왔던', '개인', '능력', '사하고', '보상', '주는', '능력', '주의', '근본', '크게', '잘', '못', '되어', '있다고', '주장', '능력', '주의', '제대로', '공정하게', '작동', '있는지', '공정함', '정의', '란', '공식', '정말', '맞는', '진지하게', '되', '짚어', '본다']"
불편한 편의점,김호연,나무옆의자,년 월 일,15,소설시희곡,"['영화', '만화', '소설', '넘나', '들며', '온갖', '이야기', '써', '나가는', '천후', '스토리', '텔러', '생', '고려대학교', '인문', '대학', '국어', '국문학', '졸업', '첫', '직장인', '영화사', '공동', '작업', '시나리오', '이중간첩', '영화', '화', '되며', '시나리오', '작가', '되었다', '두', '번째', '직장인', '출판사', '만화', '기획', '자로', '하며', '쓴', '실험', '지대', '부천', '만화', '스토리', '공모전', '대상', '수상하며', '만화', '스토리', '작가', '되었다', '같은', '출판사', '소설', '편집자', '남', '소설', '만지다가', '급기야', '전업', '작가', '나섰다', '젊은', '날', '닥치는', '글쓰기', '실천', '하던', '장편소설', '망원동', '브라더스', '세계문학', '우수상', '수상하며', '소설가', '되었다', '장편소설', '망원동', '브라더스', '연적', '고스트', '라이터', '스', '파우', '스터', '산문', '집', '쓰고', '다시', '쓰고', '끝', '씁니다를', '펴냈고', '영화', '이중간첩', '태양', '쏴라', '시나리오', '남한', '산성', '기획', '참여', '망원동', '브라더스', '동네', '이야기', '시즌', '불편한', '편의점', '출', '간']","['최고', '재미', '감동', '선사', '힐링', '소설', '원조', '주요', '서점', '종합', '베스트셀러', '위', '국립', '중앙', '도서관', '책', '전국', '개', '도시', '책', '해외', '개국', '판권', '수출', '연극', '불편한', '편의점', '절찬', '상연', '불편한데', '자꾸', '가고', '싶은', '편의점', '힘들게', '낸', '위로', '편의점', '밤', '정체', '불명', '알바로', '시작', '웃음', '감동', '나비효과', '망원동', '브라더스', '김호연', '동네', '이야기', '시즌', '세계문학', '우수상', '수상작', '망원동', '브라더스', '데뷔', '후', '일상', '현실', '위트', '있게', '그린', '경쾌한', '작품', '내밀한', '욕망', '기발한', '상상력', '풀어', '낸', '스릴러', '장르', '오가며', '독자', '작품', '세계', '쌓아', '올린', '작가', '김호연', '번째', '장편소설', '불편한', '편의점', '출', '간', '되었다', '불편한', '편의점', '청파동', '골목', '모퉁이', '자리', '잡은', '작은', '편의점', '무대', '힘겨운', '시대', '살아가는', '이웃', '삶', '속', '희로애락', '따뜻하고', '유머러스하게', '담아', '낸', '작품', '망원동', '브라더스', '망원동', '이라는', '공간', '체험', '지리지를', '잘', '활용', '유쾌한', '재미', '공감', '이끌이어', '냈듯', '오래된', '동네', '청파동', '대한', '공감각', '생생하게', '포착', '흥미진진', '동네', '이야기', '탄생', '시켰다', '서울역', '노숙인', '생활', '하던', '독고', '날', '대', '여성', '지갑', '주워', '준', '인연', '그녀', '운영', '편의점', '야간', '아르바이트', '이야기', '시작', '된다', '덩', '치가', '곰', '같은', '사내', '알코올', '성', '치매', '과거', '기억', '못', '데', '말', '어눌하고', '행동', '굼떠', '손님', '제대로', '있을까', '구심', '갖게', '웬걸', '의외로', '꽤', '잘', '해낼', '뿐', '아니라', '주변', '묘', '사로잡으면서', '편의점', '밤', '지키는', '든든한', '일꾼', '되어', '간다', '현', '실감', '넘치는', '캐릭터', '간의', '상호작용', '점', '입가', '경', '형상', '화하는', '데', '일가견', '작가', '작품', '답', '게', '소설', '에서도', '독특한', '개성', '사연', '지닌', '인물', '차례', '등장', '서로', '티격태격하', '며', '별난', '관계', '형성', '간다', '고등학교', '역사', '가르치다', '정년', '퇴', '임하여', '매사', '교사', '본능', '발동', '편의점', '사장', '염', '여사', '필', '두', '대', '취준생', '알바', '시', '현', '대', '생계', '형', '알바', '여사', '밤', '야외', '테이블', '참깨', '라면', '참치', '김밥', '참이슬', '세트', '혼술', '하며', '스트레스', '푸는', '회사원', '경만', '이라는', '각오', '청파동', '글', '쓰러', '들어온', '대', '희곡작가', '인경', '호시탐탐', '편의점', '팔아치울', '기회', '엿보는', '염', '여사', '아들', '민', '식', '민', '식', '의뢰', '받아', '독고', '뒤', '캐는', '사설탐정', '곽', '녹록', '지', '않은', '무게', '현실', '문제', '안고', '시선', '독고', '관찰', '과정', '발생', '오해', '대립', '충돌', '반전', '이해', '공감', '자주', '폭소', '자아내고', '울컥', '눈시울', '붉어지게', '그렇게', '골목길', '작은', '편의점', '불편하기', '짝', '없는', '곳', '이었다가', '고단', '삶', '위로', '웃음', '나누는', '특별한', '공간', '된다']"
부의 추월차선 주년 스페셜 에디션,엠제이 드마코 신소영,토트출판사,년 월 일,14,경제 경영,"['투자자', '이자', '자수', '성가', '백만장자', '개', '국어', '넘는', '언어', '출', '간', '글로벌', '베스트셀러', '부의', '추월', '차선', '언스', '크립', '티드', '저자', '반', '쯤', '은퇴', '기업가', '로서', '창설', '추월', '차선', '포럼', '운영', '포럼', '엠제이', '기업가', '정신', '전수', '받고', '싶은', '세계', '각국', '회원', '참여', '비즈니스', '커뮤니티', '로서', '참가', '기업가', '명', '육박', '기고', '글', '편이', '넘는다', '유타', '주의', '알파', '가족', '즐기고']","['미국', '아마존', '금융', '사업', '분야', '위', '국내', '유명', '서점', '연간', '종합', '베스트셀러', '가장', '빠르게', '부자', '새로운', '공식', '제시', '큰', '반향', '불러일으킨', '책', '부자', '되기', '방식', '패러다임', '바꾼', '부의', '추월', '차선', '독자', '사랑', '지지', '속', '출', '간', '주년', '맞이', '책', '죽도록', '하며', '연간', '아끼고', '모아서', '휠체어', '탈', '쯤', '부자', '짜리', '플랜', '비웃으며', '라도', '젊을', '부자', '되어', '은퇴', '방법', '구체', '제시', '추월', '차선', '알', '난', '뒤', '부의', '지도', '다시', '그린', '하나같이', '입', '모은다', '추월', '차선', '법칙', '알', '게', '뒤', '돈', '쪼들리며', '사는', '이유', '알', '게', '되었고', '그런', '으로부터', '벗어나기로', '결심', '후', '자산', '배', '불릴', '부자', '데', '돈', '많은', '부모님', '운', '필요', '없다는', '알', '게', '되었다', '돈', '버', '방법', '대한', '지식', '만이', '필요할', '뿐', '추월', '차선', '지식', '주었다', '휠체어', '탄', '백만장자', '부럽지', '젊은', '나이', '일과', '돈', '해방', '되어', '즐겨', '라일', '노예', '다시', '노예', '위해', '쉬는', '대', '억만장자', '알려', '주는', '가장', '빠른', '부자', '길', '부의', '추월', '차선', '옮겨', '타라']"
파친코 ,이민진 신승미,인플루엔셜,년 월 일,13,소설시희곡,"['세계', '뜨거운', '관심', '사랑', '받고', '계', '미국인', '소설가', '경계', '으로서의', '날카로운', '시선', '공감', '바탕', '통찰', '력', '복잡다단한', '역사', '본질', '포착', '하며', '제인', '오스틴', '조지', '엘리엇', '잇는', '작가', '찬사', '속', '세계', '작가', '발돋움', '태어난', '작가', '가족', '미국', '뉴욕', '건너갔다', '일대', '역사학', '공부', '후', '조지타운', '대학교', '로스쿨', '졸업', '변호사', '했으나', '건강', '문제', '그만두게', '되면서', '오랜', '꿈이었던', '글쓰기', '시작', '단편소설', '발표', '하며', '주목', '받기', '시작', '했고', '미국', '이민자', '이야기', '담은', '첫', '장편소설', '백만장자', '위', '공짜', '음식', '작가', '로서', '이름', '알렸다도', '번째', '장편소설', '파친코', '작가', '역사학', '학생', '이었던', '자이니치', '라', '불리는', '재일조선인', '이야기', '써야겠다고', '결심', '후', '출', '간', '되기까지', '가까운', '세월', '혼신', '노력', '기울여', '집필', '대작', '일본', '계', '미국인', '남편', '연간', '일본', '머물며', '방대하고', '치밀한', '조사', '취재', '끝', '이야기', '완성', '대에', '걸친', '가족사', '일제강점기', '전쟁', '일본', '버블경제', '이르', '기', '까지의', '역사', '흐름', '속', '다룬', '책', '출', '간', '미국', '사회', '큰', '반향', '일으켰다', '뉴욕타임스', '투데이', '아마존', '개', '넘는', '주요', '매체', '앞', '다투어', '책', '선정', '했고', '미도', '서', '최종', '후보', '올랐다', '개국', '번역', '출', '간되', '며', '세계', '베스트셀러', '오른', '파친코', '새로운', '역사', '써', '나가고', '이민', '진', '작가', '뉴욕', '거주', '하며', '한국인', '디아스포라', '부작', '완결', '될', '세', '번째', '장편소설', '집필', '몰두하고']","['역사', '버렸지만', '상관없다', '역사', '외면', '당', '재일조선인', '가족', '대', '서', '사극', '세계', '감동', '시킨', '이민', '진', '작가', '화', '제작', '파친코', '새롭게', '출', '간', '한국인', '이야기', '주인공', '될', '가치', '가능한', '오래', '한국인', '이야기', '쓰고', '싶다', '독자', '대에', '걸친', '재일조선인', '가족', '이야기', '그린', '세계', '베스트셀러', '이민', '진', '작가', '장편소설', '파친코', '새롭게', '출', '간', '되었다', '파친코', '재미교포', '세대', '이민', '진', '작가', '달', '세월', '걸쳐', '집필', '대하', '소설', '출', '간', '되어', '뉴욕타임스', '베스트셀러', '올랐다', '세계', '개국', '번역', '수출', '되었으며', '아마존', '개', '주요', '매체', '책', '선정', '되었을', '뿐', '아니라', '미도', '서', '최종', '후보', '이름', '올리며', '평단', '대중', '사로잡은', '작품', '버락', '오바마', '미국', '대통령', '으로부터', '회복', '연민', '대한', '강력한', '이야기', '찬사', '받으며', '주목', '지난', '판권', '계약', '종료', '되며', '절판', '되었던', '파친코', '새로운', '번역', '디자인', '독자', '돌아왔다', '첫', '문장', '역사', '버렸지만', '상관없다에서부터', '원문', '의미', '충실하게', '전달', '하고자', '했으며', '작품', '특유', '속', '도감', '문체', '살리고자', '노력', '작가', '의도', '구조', '흐름', '살리기', '위해', '총', '세', '파트', '투', '고향', '부', '모국', '부', '파친코', '원서', '구성', '그대로', '따랐다', '새', '출', '간', '기념', '독자', '보내는', '글', '한국인', '이야기', '쓰는', '이유', '밝혔다', '작가', '매력', '이기', '라며', '한국인', '지적', '으로나', '감성', '으로나', '깊이', '이야기', '주인공', '될', '가치', '들이기에', '앞', '이야기', '젊은', '세대', '들려주고', '싶다며', '독자', '각별', '애정', '표']"
미드나잇 라이브러리  평행우주 에디션,매트 헤이그 노진선,인플루엔셜,년 월 일,13,소설시희곡,"['영국', '요크셔', '출신', '동화', '작가', '겸', '소설가', '출', '간', '첫', '소설', '영국', '가족', '비롯', '하여', '편의', '성인', '대상', '작품', '편의', '동화', '청소년', '소설', '발표', '해왔다', '대', '초반', '정신', '위기', '맞은', '절벽', '끝', '서서', '스스로', '생', '마감', '하려던', '우울증', '불안장애', '깨닫고', '사랑', '사람과', '가족', '도움', '받아', '건강', '회복했다', '오랜', '독서', '글쓰기', '싸운', '끝', '전업', '작', '가로', '삶', '시작', '글', '이란', '어둠', '속', '발견', '일종', '구원', '셈이었다기', '발', '상상력', '유머', '위트', '더해진', '작품', '아동', '성인', '세대', '막론', '독자', '많은', '호평', '특히', '출', '간', '미드나이트', '라이브러리', '뉴욕타임스', '베스트셀러', '영국', '아마존', '종합', '베스트셀러', '독일', '슈피겔', '주', '연속', '베스트셀러', '되며', '세계', '약', '부가', '판매', '되었다', '저자', '개인', '이야기', '담은', '에세이', '발표', '우울증', '극복', '과정', '담은', '지나는', '법', '영국', '위', '권', '머무는', '장기', '베스트셀러', '오르며', '마음', '건강', '대한', '시대', '가장', '영향력', '작가', '평', '미드나이트', '라이브러리', '주인공', '후회', '책', '펼쳤지만', '현실', '세계', '위로', '책', '가장', '두운', '밤', '에도', '빛', '찾을', '있다는', '희망', '메시지', '발견', '있을', '요크셔', '주', '셰필드', '태어나', '헐', '대학교', '영문학', '역사', '공부', '했고', '리즈', '대학교', '석사', '과정', '마쳤다', '뉴욕', '타임스', '재능', '탁월한', '작가', '라고', '극찬', '했고', '선데이', '익스', '프레', '스', '상상력', '풍부한', '젊은', '작가', '라고', '평', '기발한', '상상력', '유머', '위트', '더해진', '작품', '독자', '큰', '공감', '위로', '주며', '많은', '사랑', '받고', '첫', '판타지', '동화', '그림자', '숲', '비밀', '출', '간되', '해리', '포터', '마법사', '돌이', '받았던', '영국', '어린이', '직접', '선정', '상인', '레슬리', '스마', '티', '즈', '어워드', '수상', '카네기', '메달', '최종', '후보', '세', '번', '오르면서', '동화', '작', '가로서도', '인정', '부모님', '갑작스러운', '죽음', '시작', '그림자', '숲', '비밀', '영국', '전통', '판타지', '동화', '맥', '이으며', '매트', '헤이그', '어린이', '책', '작가', '로서', '가능성', '활짝', '열어', '주었다', '저자', '두', '번째', '소설', '에코', '보이므로', '소설', '인공', '지능', '가진', '에코', '위해', '온갖', '미래', '배경', '외계인', '유머', '위트', '삶', '들여다본', '소설', '휴먼', '외계인', '기록', '에드거상', '최종', '후보', '올랐고', '영화', '판권', '팔려', '작가', '직접', '각본', '쓰고', '우울증', '극복', '과정', '담은', '에세이', '살아야', '이유', '영국', '베스트셀러', '되며', '마음', '건강', '대하', '시대', '가장', '영향력', '작가', '자리매', '김', '주요', '작품', '휴먼', '영국', '가족', '리들리', '가족', '있으며', '어린이', '청소년', '위', '책', '썼다', '작품', '세계', '개', '언어', '번역', '되었다', '아내', '안드레아', '살아야', '천', '이유', '주는', '두', '루카스', '펄', '요크셔']","['밤', '시', '죽기', '에만', '열리는', '마법', '도서관', '두', '번째', '기회', '드립니다', '국내', '주요', '서점', '종합', '베스트셀러', '위', '책', '선정', '뉴욕타임스', '베스트셀러', '위', '영국', '아마존', '종합', '베스트셀러', '위', '매트', '헤이그', '소설', '미드나이트', '라이브러리', '출', '간', '만에', '독자', '마음', '사로잡으며', '눈물', '웃음', '뭉클한', '감동', '선사', '죽기로', '결심', '주인공', '노라', '시드', '삶', '죽음', '사이', '존재', '미스터리', '도서관', '미드나이트', '라이브러리', '눈', '뜨며', '두', '번째', '기회', '얻는', '소설', '노라의', '가장', '완벽한', '삶', '찾는', '모험', '따라가며', '있', '음', '살아가는', '대한', '깊은', '통찰', '보여준다', '책', '덮는', '기대', '된다', '반려', '책', '만났다', '다시', '봐야겠다는', '힘', '얻었다', '책', '읽은', '독자', '뜨거운', '반응', '힘', '입어', '주요', '서점', '책', '선정', '되었고', '열기', '되고', '삶', '대한', '공감', '삶', '대한', '긍정', '살아야', '이유', '깊은', '통찰', '력', '매트', '헤이그', '작가', '보내는', '공감', '위로', '메시지', '세대', '성별', '아우르며', '세계', '독자', '마음', '사로잡았다', '뉴욕타임스', '베스트셀러', '위', '영국', '아마존', '종합', '베스트셀러', '위', '기록', '했고', '미국', '아마존', '뉴욕타임스', '주', '독일', '슈피겔', '에서도', '주', '연속', '장기', '베스트셀러', '올랐다', '덴마크', '이탈리아', '스페인', '루마니아', '타이완', '이란', '세계', '각지', '출', '간되', '며', '글로벌', '인기', '누리']"
정의란 무엇인가,마이클 샌델 김명철 김선욱,와이즈베리,년 월 일,12,사회 정치,"['정의', '열풍', '불러일으켰다', '세', '최연', '소', '하버드', '대학교', '교수', '되었고', '세', '자유', '주의', '이론', '대가', '존', '롤스', '정의론', '비판', '자유', '주의', '정의', '한계', '발표', '세계', '명성', '얻었다', '하버드', '대학교', '정치철학', '가르치고', '있으며', '수업', '학생', '사이', '최고', '명', '강의', '손', '꼽힌다', '존', '롤스', '정의', '분야', '세계', '학자', '인정받는', '명실', '공', '히', '시대', '최고', '석', '학', '이자', '철학', '계', '록스타', '대표', '저서', '정의', '란', '인가', '돈', '없는', '정치', '도덕', '말', '완벽', '대한', '반론', '정의', '한계', '마이클', '샌델', '중국', '만나다는', '중국', '철학', '연구자', '마이클', '샌델', '이론', '저작', '동양', '철학', '분석', '평론', '대한', '샌델', '모은', '동', '서양', '철학', '대화', '살펴봄으로써', '마이클', '샌델', '정의', '새롭게', '경험', '있을']","['정의', '열풍', '불러일으킨', '마이클', '샌델', '구제', '금융', '대리', '출산', '동성', '결혼', '과거', '공개', '사과', '현대', '사회', '흔히', '부딪히는', '문제', '정의', '로운', '가에', '대한', '해답', '탐구', '책', '탁월한', '정치', '철학자', '남긴', '시대', '초월', '철학', '질문', '알기', '쉽게', '소개', '이를', '옳고', '그름', '정의', '부당함', '평등', '불평등', '개인', '권리', '공', '동선', '둘러싼', '주장', '경쟁', '공적', '담론', '토론', '장', '정의', '관', '만의', '견해', '정립', '논리', '기반', '굳건', '다지는', '토대', '제공', '책', '현대', '사회', '문제', '진단', '새로운', '대안', '찾아내는', '정치', '철학자', '지적', '탐색', '과정', '보여준다']"
