도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개
년 라틴어 최종판 직역 기독교 강요 ,존 칼빈 문병호,생명의말씀사,년 월 일,363,종교,"['위대한', '종교개혁', '이자', '신학자', '칼빈', '프랑스', '누', '용', '출생', '기초', '교육', '마친', '후', '파리', '철학', '논리학', '라틴어', '수학', '했으며', '대', '초반', '오를레앙', '대학교', '부르주', '대학교', '법학', '공부', '생', '명기', '가톨릭', '사제', '법률가', '기독교', '인문주의자', '되고자', '했으나', '갑작스러운', '회심', '하나님', '마음', '바꾸신', '부터는', '성경', '만을', '유일한', '텍스트', '삼아', '교사', '해석', '수호', '로서', '부여', '나그네', '삶', '살기', '시작', '교회', '본래', '순수한', '모습', '회복', '시키라는', '하나님', '명령', '듣고', '로마', '가톨릭', '벗어난', '파리', '피신', '하여', '프랑스', '각지', '전전', '하며', '여러', '개혁', '알', '게', '되었고', '부터는', '스위스', '바젤', '불후', '명작', '기독교', '강요', '집필', '시작', '이듬해', '출', '간', '책', '최종', '판이', '나오기까지', '수정', '증보', '되었다', '넘도록', '끊임없이', '개정', '하여', '방대한', '저서', '되었음에도', '불구', '신앙', '사상', '초판', '최종', '판', '사이', '차이', '찾아볼', '없다는', '놀라운', '이는', '오랜', '분투', '연구', '지식', '지혜', '풍부해졌음에도', '확신', '사상', '변경', '필요', '없었', '음', '보여', '준다', '다시', '말', '성경', '충실했으며', '사상', '의존', '않았다는', '의미', '다년', '파렐', '요청', '제네바', '종교개혁', '참여', '하였고', '일생', '제네바', '종교', '정치', '시민', '생활', '걸친', '개혁', '헌신', '목사', '겸', '성경', '교사', '복음', '교리', '규범', '가르치는', '한편', '교회', '제도', '정비', '하였으며', '동시', '성경', '가르침', '따른', '시민', '정부', '통치', '전력', '다해', '진작', '시켰다', '칼빈', '유럽', '국가', '종교개혁', '확산', '시키기', '위', '해서도', '노력', '제네바', '설립', '하여', '개혁교회', '신학', '정립', '했으며', '요한계시록', '제외', '신약성경', '구약성경', '주석', '집필', '신학', '종교개혁', '활동', '스위스', '뿐', '아니라', '프랑스', '독일', '네덜란드', '잉글랜드', '스코틀랜드', '거쳐', '신대륙', '전파', '되어', '프로테스탄트', '발전', '지대', '영향', '끼쳤다']","['기독교', '신학', '요체', '총', '망라', '개혁신학', '기초', '기독교', '강요', '라틴어', '최종', '판', '지역', '본', '데이비드', '라이트', '존', '헤셸', '링크', '유진', '오스', '터', '헤이븐', '리처드', '멀러', '세계', '칼빈신학', '수학', '연간', '강단', '가르쳐', '온', '국내', '최고', '칼빈신학', '권위자', '원문', '가장', '충실한', '완역', '본', '기독교', '강요', '칼빈신학', '대한', '이해', '돕는', '정밀', '역자', '해설', '항목', '달', '각주', '개', '라틴어', '단어', '해설', '집', '성구', '색인', '초판', '최종', '판', '까지의', '변화', '보여', '주는', '판별', '일람표', '수록', '개신교', '근본', '교리', '정치', '제시', '기독교', '강요', '종교개혁기', '신학자', '이자', '교육자', '저술가', '이자', '교회', '정치가', '심', '대', '영향', '끼친', '존', '칼빈', '기념비', '작품', '칼빈', '로마', '가톨릭', '결별', '후', '스위스', '망명', '생활', '하며', '개혁', '옹호', '위해', '책', '집필', '시작', '총', '장', '구성', '라틴어', '초판', '출', '간', '되었으며', '후', '여러', '차례', '수정', '증보', '거쳐', '총', '권', '장', '구성', '최종', '결정', '판이', '나왔다', '성경', '가르침', '담은', '주제', '교훈', '고백', '변증', '서술', '기독교', '강요', '최종', '판', '개혁신학', '초석', '다지', '토대', '놓았다는', '의의', '지니는', '데', '그치지', '않고', '개혁신학', '효시', '된다', '원천', '원천', '돌아가자는', '신', '학적', '외침', '성경', '말씀', '종합', '체계', '신학', '화함에', '가장', '적합한', '방식', '도달', '책', '아우구스티누스', '신국론', '아퀴나스', '신학대전', '이어', '기독교', '교회', '역사', '새로운', '기준', '점', '제시', '하며', '체계', '조직', '내용', '성경', '교의', '신학', '전형', '보여', '준다']"
필립 샤프 교회사 전집 세트,필립 샤프 이길상 박종숙 박경수,북스크리스천다이제스트,년 월 일,108,종교,"['성서신학', '교회', '사가', '선구', '세계', '교회', '일치', '운동', '스위스', '목수', '아들', '태어나', '장학금', '공부', '하였다', '독일', '슈투트가르트', '김나지움', '졸업', '뒤', '튀빙겐', '대학교', '들어가', '바우어', '밑', '공부', '하였다', '훗날', '할레', '대학교', '베를린', '대학교', '들어가', '톨', '룩', '헹스텐', '베르크', '안더와', '공부', '하였다', '미국', '펜실베이니아', '주', '머', '서', '즈', '버그', '독일', '개혁교회', '신학교', '교', '회사', '성서학', '교수', '초빙', '취임', '강의', '엮어', '만든', '프로테스탄트', '신앙', '원칙', '기독교', '교회', '사를', '프로테스탄트', '신앙', '로마', '가톨릭', '신앙', '연합', '하여', '새로운', '복음주의', '가톨릭', '신앙', '나아가는', '신', '발전', '과정', '보았다', '강의', '이단', '이라는', '비판', '받았으나', '훗날', '그러한', '비판', '풀려', '났다', '신학교', '있으면서', '빈', '머', '서', '즈', '버그', '신학', '형성', '하였다', '죽', '뉴욕', '유니언', '신학교', '교수', '지냈다', '복음주의', '연맹', '가운데', '기독교', '일치', '위해', '적극', '활동', '펼쳤다', '미국', '교', '회사', '협회', '설립', '하였고', '협회', '초대', '회장', '지냈다']","['건전성', '깊이', '타의', '추종', '불허', '교', '회사', '분야', '필독', '고전', '역사상', '가장', '위대한', '교회', '사가', '사람인', '필립', '샤프', '대', '교회', '종교개혁', '권', '짜리', '기독교', '회사', '저술', '하였다', '연간', '교', '회사', '집필', '매달렸으며', '이루지', '못', '금', '탑', '쌓았다', '방대한', '양', '내용', '건전성', '깊이', '책', '타의', '추종', '불허', '책', '교', '회사', '분야', '모든', '추천', '도서', '목록', '포함', '고전', '필립', '샤프', '현대', '교회', '사의', '불리는', '스승', '안더', '크게', '영향', '받아', '그이', '교', '회사', '역사관', '기독교', '경건', '학문', '이라는', '두', '요소', '본질', '결합', '되어', '샤프', '교', '회사', '친숙한', '그리스도', '아는', '사이', '끊을', '없는', '관계성', '있다고', '주장', '하였다', '필립', '샤프', '교회', '사는', '권', '고대', '교', '회사', '권', '중세', '교', '회사', '권', '종교개혁', '사를', '다루고']"
 마태복음,  프랜스 권대영 황의무,부흥과개혁사,년 월 일,104,종교,"['신약', '학자', '이자', '성공회', '사제', '였다', '브래드퍼드', '문법', '옥스퍼드', '빨리', '올', '대학', '런던', '대학교', '친데', '홀', '브리스틀', '친데', '홀', '공부', '나이지리아', '이페', '대학교', '아마', '두', '벨', '대학교', '가르쳤으며', '런던', '바이블', '칼리지', '부', '학장', '옥스퍼드', '대학교', '위클리프', '홀', '학장', '역임', '했고', '말년', '잉글랜드', '웨일스', '목회', '역', '웨일스', '뱅고어', '대학교', '명예', '연구원', '활동', '번역', '위원', '원장', '활동', '누가복음', '마태복음', '마가복음', '여러', '책', '저술', '편집']","['비평', '논의', '늘어놓는', '주석', '서', '아니라', '본문', '메시지', '충실히', '이해', '데', '도움', '주석', '서', '그러면서도', '마태복음', '어려운', '성경', '인지', '실감', '마태복음', '깊이', '있게', '통찰', '있게', '주는', '주석', '서', '카슨', '최고', '마태복음', '주석', '서로', '소개', '책', '프', '랜스', '박사', '은퇴', '후', '평생', '마태복음', '가르치고', '연구', '하며', '사색', '묵상', '결과', '권', '주석', '서로', '정리', '역작', '저자', '서문', '밝히고', '있듯이', '책', '마태복음', '주해', '위해', '저술', '책', '주석', '서에', '대한', '주석', '아니라', '평신도', '라도', '마태복음', '본문', '쉽게', '이해', '있게', '주요', '저술', '의도', '마태복음', '그대로', '주해', '데', '주안', '점', '두었으며', '본문', '형성', '자료', '사나', '공관복음', '비교', '연구', '같은', '주제', '본문', '메시지', '끌어내는', '데', '필요한', '주', '해적', '차원', '에서만', '다루었다', '그러면서도', '예수', '활동', '하던', '시기', '마태', '복음서', '집필', '하던', '시기', '사회', '정치', '문화', '경제', '종교', '자연', '상황', '충분히', '이해', '있게', '배려', '저자', '마태복음', '지리', '갈릴리', '유대', '멀리', '떨어진', '두', '지역', '축', '구성', '되어', '있다고', '본다', '마가', '에게도', '예루살렘', '있던', '유대', '갈릴리', '온', '선지자', '죽음', '이르게', '재난', '장소', '불과했기에', '마가복음', '갈릴리', '회복', '새로운', '출발', '기대하면서', '끝나지만', '마태', '이를', '더욱', '구체화', '한다는', '마태복음', '복음서', '에서도', '구약', '성경', '대한', '직', '간접', '인용', '상당히', '많다', '이는', '예수', '안', '구약', '성취', '되었음', '증명', '저자', '마태', '본문', '역', '인지', '구약', '메시지', '와의', '관계', '인용', '원문', '없는', '해석', '문제', '제반', '고려', '하여', '마태복음', '본문', '충실히', '이해', '있게']"
 이사야 ,존 오스왈트 이용중,부흥과개혁사,년 월 일,98,종교,"['존', '오스', '왈', '트는', '브랜다이스', '대학교', '철학박사', '학위', '받았고', '애즈버리', '신학교', '구약', '석좌교수', '재직', '오스', '왈', '트는', '이스라엘', '거룩하신', '이사야서', '연구', '출애굽기', '출구', '작품', '저술', '했으며', '신학', '학술지', '종교', '간행물', '에도', '많은', '논문', '기고', '오스', '왈', '트는', '목사', '로서', '뉴잉글랜드', '켄터키', '회중', '섬기고', '있으며', '집회', '지역', '교회', '강사', '역']",[]
 마가복음,제임스 에드워즈 전용우,부흥과개혁사,년 월 일,88,종교,"['미국', '휘트워스', '대학교', '프린스턴', '신학교', '공부', '풀러', '신학교', '초기', '복음서', '연구', '박사학위', '워싱턴주', '스포캔', '소재', '휘트워스', '대학교', '넘게', '신약', '초기', '교회', '사를', '연구', '가르쳤으며', '명예', '교수', '재직', '견실', '학자', '취리히', '튀빙겐', '케임브리지', '프린스턴', '등지', '신학', '연구소', '회원', '역임', '하기도', '지은', '책', '으로는', '크리스', '채', '티', '투데이', '수상작', '외', '누가복음', '마가복음', '부흥', '개혁']","['주석', '저자', '보다도', '마가복음', '세', '측면', '마가복음', '역사', '배경', '내러티브', '문학', '방법', '신', '학적', '목적', '집중', '본문', '대한', '주해', '신', '학적', '통찰', '탁월한', '주석', '독자', '마가복음', '본문', '잘', '이해', '이를', '독자', '예수', '하나님', '아들', '바라보고', '제자', '로서', '따르도록', '도와준다']"
병행 사복음서,정훈택,민영사,년 월 일,85,종교,[],"['성경', '읽거나', '연구', '스스로', '공관복음', '비교', '대조', '하여', '읽어', '보며', '차이점', '일치', '점', '직접', '눈', '확인', '볼', '필요', '이는', '기독교', '신앙', '신학', '근본', '가치', '다지는', '점', '중요한', '일이', '며', '직접', '눈', '확인', '하기까지는', '중요성', '필요성', '잘', '모를', '있기에', '더욱', '그러하다', '전통', '관점', '따르는', '그렇고', '새로운', '관점', '선택', '그렇다', '공관복음', '비교', '대조', '늘', '두', '어려움', '부딪친다', '교육', '현실', '최상', '도구', '헬라어', '대조', '성경', '가능하도록', '학생', '충분한', '헬라어', '습득', '기회', '주지', '못', '한다는', '편법', '으로라도', '마땅한', '한글', '대조', '성경', '없다는', '헬라어', '성경', '직접', '번역', '하여', '성경', '복음서', '비교', '대조', '가능하도록', '책', '복음서', '읽고', '연구', '더욱', '깊이', '있게', '복음서', '이해', '있도록', '나아가', '신앙', '신학', '깊이', '다질', '길잡이', '될']"
 누가복음,제임스 에드워즈 강대훈,부흥과개혁사,년 월 일,83,종교,"['미국', '휘트워스', '대학교', '프린스턴', '신학교', '공부', '풀러', '신학교', '초기', '복음서', '연구', '박사학위', '워싱턴주', '스포캔', '소재', '휘트워스', '대학교', '넘게', '신약', '초기', '교회', '사를', '연구', '가르쳤으며', '명예', '교수', '재직', '견실', '학자', '취리히', '튀빙겐', '케임브리지', '프린스턴', '등지', '신학', '연구소', '회원', '역임', '하기도', '지은', '책', '으로는', '크리스', '채', '티', '투데이', '수상작', '외', '누가복음', '마가복음', '부흥', '개혁']","['제임스', '에드워즈', '누가복음', '필라', '신약', '성경', '주석', '특색', '유지', '세', '번째', '복음서', '어휘', '역사', '배경', '서술', '목적', '고유', '주제', '오늘날', '교회', '신자', '주는', '신', '학적', '의미', '특별한', '관심', '기울인다', '주로', '이방인', '초점', '맞춘다고', '되곤', '에드워즈', '가장', '큰', '관심', '이스라엘', '역사', '하나님', '섭리', '역', '성취', '예수', '묘사', '데', '있다는', '수많은', '증거', '들어', '그러한', '관점', '균형', '잡아', '준다', '에드워즈', '유대인', '가능성', '고려', '에드워즈', '예수', '유년기', '이야기', '구원', '길', '로서', '예수', '선교', '세계', '복음', '범위', '대한', '묘사', '포함', '특정', '주제', '여러', '보론', '논', '모든', '연구', '정통한', '에드워즈', '생동감', '유려', '게', '쓴', '주석', '역자', '학생', '학자', '많은', '진지한', '성경', '독자', '추천', '만하']"
공관복음 입문,정훈택,감은사 ,년 월 일,83,종교,"['총신대', '신', '학과', '신학', '대학원', '졸업', '후', '대한', '예수교', '장로회', '목사', '안수', '네덜란드', '유학', '하여', '깜뻔', '신학대', '졸업', '곳', '박사학위', '취득', '하였다', '총신대', '신학', '대학원', '전임', '교원', '재직']","['공관복음', '문제', '관심', '신학', '공관복음', '설교', '준비', '목회자', '공관복음', '조', '망', '싶은', '독자', '책', '정운택', '교수', '평생', '강의', '했던', '강의', '안', '신현우', '교수', '편집', '하여', '책', '펴낸', '고인', '신학자', '강의', '안', '담긴', '독특한', '신학', '보화', '발굴', '되어', '나오게', '되었다', '책', '지난', '독특하게', '전개', '신학', '모습', '대한', '역사', '자료', '이며', '신앙', '학문', '만나', '조화', '이루며', '발전', '신학', '좋은', '사례', '될', '공관복음서', '읽으면서', '복음서', '서로', '비슷하면서도', '현상', '보면', '대답', '인가', '많은', '대답', '있었지만', '공관복음', '입문', '정운택', '교수', '독특한', '대답', '담겨', '대답', '새로운', '결과', '오래된', '신앙', '관점', '잘', '조화', '된다', '공관복음', '입문', '복음서', '역사', '예수', '관', '생생한', '증언', '만날', '있', '음', '차분하게', '과감', '논증', '예수', '목격', '아직', '시대', '복음서', '기록', '돼었다는', '목격', '내용', '기억', '시점', '사이', '간격', '무의미하게', '목격자', '기억', '속', '복음서', '기록', '시점', '복음서', '담긴', '사건', '사이', '간격', '사라지게', '된다', '목격자', '증인', '증언', '다닌', '목격자', '기억', '증언', '반복', '더욱', '생생하게', '보존', '된다', '생생한', '기억', '가진', '목격자', '시대', '복음서', '목격자', '의하여', '또는', '목격자', '제자', '의하여', '기록', '되었다', '복음서', '기록', '과정', '릴레이', '식', '전승', '전달', '되면서', '왜곡', '현상', '과는', '성질', '신실한', '보존', '기록', '과정', '임', '책', '차근차근', '설명', '논증']"
 누가복음,조엘 그린 강대훈,부흥과개혁사,년 월 일,82,종교,"['미국', '캘리포니아주', '풀러', '신학교', '신약', '해석학', '교수', '이자', '고등', '신학', '연', '센터', '부', '학장', '시리즈', '편집장', '맡고', '있으며', '신약', '해석학', '널', '편집자', '텍사스', '스코틀랜드', '캘리포니아', '여러', '교회', '섬겼고', '캘리포니아주', '라고', '캐나다', '라', '캐나다', '연합', '감리교회', '교', '목사', '섬기고', '대표', '저서', '로는', '신약성경', '듣기', '누가복음', '신학', '신약성경', '세계']","['누가복음', '메시지', '만을', '방대한', '분량', '주해', '책', '헬라어', '몰라도', '충분히', '이해', '누가복음', '문학', '읽기', '상세', '주해', '방대한', '자료', '누가복음', '대한', '깊은', '통찰', '제시', '대럴', '벅', '주석', '누가복음', '분야', '선두', '그린', '교수', '주석', '저자', '대한', '공관복음', '주석', '달리', '전통', '양식', '비평', '편집', '비평', '이슈', '관심', '보이지', '않는다', '그린', '교수', '방법론', '완전히', '인지', '있지만', '독자', '자세한', '내용', '주석', '도움', '받기를', '원한다', '그린', '관심', '신선하고', '흥미로우며', '독자', '예수', '대한', '내러티브', '파악', '하도록', '돕는', '데', '본', '주석', '내러티브', '작동', '있는지', '관심', '내러티브', '사도행전', '포함', '시작', '끝', '이끌고', '가는지', '누가복음', '첫', '번째', '독자', '로서', '마태복음', '마가복음', '비교', '작업', '없이', '읽어야', '하는지', '볼', '있도록', '독자', '돕는다', '토록', '놀라운', '누가복음', '해석', '본', '주석', '시리즈', '독자', '목회자', '성경', '교사', '신학생', '뿐', '아니라', '학문', '분야', '활동', '이차', '청중', '에게도', '기쁨', '추천', '본', '주석', '읽고', '배우고', '즐기', '기를', '바란다']"
가스펠 프리칭,박현신,솔로몬,년 월 일,80,종교,"['총신대', '신학', '대학원', '미국', '미국', '스탠드', '업', '교회', '담임', '목사', '이자', '미국', '세인트루이스', '한인', '장로교회', '목사', '이자', '미주', '유스', '코', '스타', '강사', '현', '총신대', '실천신학', '설교', '교수', '프란시스', '아카데미', '설교', '예배', '디렉터', '미셔', '널', '프리', '칭', '연구소', '소장', '분당', '중앙', '교회', '협동', '목사', '강사', '강사', '저서', '로는', '미스', '셔널', '프리', '칭', '등부', '부흥', '시키는', '혁명', '베다니', '공저', '새', '강해', '설교', '공저', '청소년', '역자', '일으키라', '베다니', '역서', '로는', '하나님', '말씀', '중심', '설교', '목사', '님', '설교', '다양해졌어요', '베다니', '내러티브', '강해의', '기술', '베다니']","['본', '책', '가진', '유익', '먼저', '본', '서는', '설교', '학자', '저술', '팀', '켈러', '설교', '대한', '최초', '포괄', '연', '서', '로서', '빛나는', '가치', '있으며', '팀', '켈러', '설교', '대해', '깊이', '있게', '연구', '하고자', '목회자', '신학생', '설교', '평신도', '좋은', '길잡이', '역할', '될', '본', '서는', '팀', '켈러', '설교', '책', '뿐', '아니라', '켈러', '저술', '모든', '책', '집중', '분석', '하였고', '켈러', '창조', '활용', '주요', '학자', '인용문', '정리', '하여', '제공', '본', '서는', '저자', '약', '가까운', '연구', '열매', '로서', '약', '글자', '개', '넘는', '각주', '달', '방대한', '자료', '담겨있다', '본', '서는', '팀', '켈러', '설교', '이론', '분석', '넘어', '해석학', '선교학', '주요', '프레임', '설교', '백', '편', '적용', '하여', '설교', '찾은', '핵심', '통찰', '키', '워드', '일목요연하게', '정리', '저자', '팀', '켈러', '설교', '책', '대한', '분석', '얻은', '방위', '걸친', '통찰', '력', '최신', '설교', '학적', '이론', '비추어', '켈러', '설교', '대한', '입체', '이며', '발전', '평가', '제시', '본', '서는', '교회', '설교', '들이', '팀', '켈러', '설교', '교회', '현장', '상황', '화', '적용', '있도록', '실천', '이며', '대안', '방향', '제시', '주고']"
